customer_id,snapshot_date,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,marketing_consent,recency_days,frequency_180d,monetary_180d,return_rate_180d,avg_discount_pct_180d,avg_rating_180d,category_diversity_180d,ticket_count_90d,negative_ticket_rate_90d,avg_resolution_hours_90d,days_since_signup,sessions_30d,product_views_30d,cart_adds_30d,wishlist_adds_30d,abandoned_carts_30d,email_opens_30d,campaign_clicks_30d,last_visit_days_ago,churn_next_60d,split
CUST00022,2025-09-30,Tier 1,18-24,Instagram,None,Wellness,Yes,29,1,454.06,0.0,0.31,5.0,1,0,0,0,83,10,33,5,1,2,4,1,0,0,train
CUST00023,2025-09-30,Tier 3,18-24,Google Search,Gold,Baby Care,Yes,21,1,400.98,0.0,0.25,3.0,1,0,0,0,29,3,15,1,1,1,4,1,7,0,train
CUST00024,2025-09-30,Tier 1,25-34,Marketplace,None,Skin Care,Yes,4,1,481.35,0.0,0.34,5.0,1,0,0,0,103,13,71,3,2,2,3,0,0,0,test
CUST00025,2025-09-30,Tier 2,18-24,Referral,None,Baby Care,Yes,165,1,517.97,0.0,0.38,5.0,1,0,0,0,564,11,54,2,3,1,6,1,29,1,test
CUST00026,2025-09-30,Tier 2,25-34,Referral,None,Wellness,Yes,72,3,3561.39,0.333,0.163,3.0,2,1,1.0,20.0,260,14,55,3,3,0,1,0,26,0,train
CUST00027,2025-09-30,Tier 1,45+,Instagram,None,Baby Care,Yes,70,1,2128.34,1.0,0.3,1.0,1,1,0.0,8.0,532,11,44,3,2,1,5,2,18,0,validation
CUST00028,2025-09-30,Tier 1,25-34,Influencer,None,Baby Care,Yes,83,1,641.83,0.0,0.11,2.0,1,0,0,0,368,1,4,1,0,0,3,0,19,0,train
CUST00029,2025-09-30,Tier 2,35-44,Referral,None,Skin Care,No,18,3,1382.04,0.0,0.2,3.67,2,0,0,0,473,1,6,0,0,0,0,0,0,0,train
CUST00030,2025-09-30,Tier 1,25-34,Google Search,Gold,Wellness,No,5,5,2819.98,0.0,0.362,4.2,4,2,1.0,27.65,487,11,31,2,3,1,0,0,3,0,test
CUST00031,2025-09-30,Tier 1,35-44,Marketplace,None,Wellness,No,49,1,672.95,0.0,0.24,4.0,1,0,0,0,65,6,35,3,0,1,0,0,9,1,train
CUST00032,2025-09-30,Tier 1,35-44,Marketplace,Silver,Skin Care,No,33,1,694.18,0.0,0.32,4.0,1,0,0,0,298,12,70,4,2,1,0,0,13,0,test
CUST00033,2025-09-30,Tier 3,18-24,Google Search,Gold,Fragrance,Yes,12,3,1877.69,0.333,0.403,4.67,3,1,1.0,33.3,411,7,41,2,2,1,3,0,7,0,validation
CUST00034,2025-09-30,Tier 2,25-34,Marketplace,Gold,Hair Care,Yes,50,2,1460.21,0.0,0.185,4.5,2,1,1.0,23.6,353,7,30,4,1,2,8,2,0,0,train
CUST00035,2025-09-30,Tier 2,18-24,Google Search,Silver,Hair Care,Yes,127,1,779.74,0.0,0.12,4.0,1,0,0,0,367,6,25,2,1,1,8,0,25,1,train
CUST00036,2025-09-30,Tier 3,18-24,Referral,Silver,Makeup,Yes,27,4,1737.33,0.25,0.365,2.75,4,1,0.0,27.9,192,0,0,0,0,0,0,0,14,1,train
CUST00037,2025-09-30,Tier 1,35-44,Influencer,None,Makeup,Yes,102,1,435.83,0.0,0.43,3.0,1,0,0,0,317,5,28,2,0,0,3,0,28,0,train
CUST00038,2025-09-30,Tier 3,35-44,Marketplace,None,Baby Care,Yes,51,3,1955.61,0.0,0.317,3.67,3,1,0.0,21.9,250,5,23,1,0,0,5,0,14,0,train
CUST00039,2025-09-30,Tier 2,25-34,Instagram,None,Wellness,Yes,15,2,1173.55,0.0,0.21,3.5,2,0,0,0,309,6,20,1,1,0,3,1,4,0,train
CUST00040,2025-09-30,Tier 3,18-24,Instagram,None,Fragrance,Yes,154,1,634.73,0.0,0.38,5.0,1,0,0,0,295,1,4,0,0,0,1,0,42,1,train
CUST00041,2025-09-30,Tier 3,25-34,Referral,Silver,Hair Care,Yes,54,1,366.99,0.0,0.44,5.0,1,0,0,0,564,5,19,1,1,0,4,2,22,1,train
CUST00042,2025-09-30,Tier 1,35-44,Organic,Silver,Hair Care,Yes,87,5,4306.0,0.0,0.2,3.4,4,2,0.5,9.65,529,3,13,1,0,0,7,2,14,0,train
CUST00043,2025-09-30,Tier 2,45+,Influencer,Gold,Baby Care,No,24,1,363.01,0.0,0.43,5.0,1,0,0,0,95,3,16,0,0,0,0,0,0,0,test
CUST00044,2025-09-30,Tier 2,35-44,Google Search,None,Baby Care,Yes,72,1,899.51,0.0,0.29,4.0,1,0,0,0,476,6,27,2,1,1,4,2,10,0,test
CUST00045,2025-09-30,Tier 1,25-34,Referral,None,Skin Care,Yes,96,1,413.75,0.0,0.33,4.0,1,0,0,0,398,6,16,1,1,0,3,1,10,1,train
CUST00046,2025-09-30,Tier 1,25-34,Referral,Gold,Baby Care,Yes,127,1,489.87,0.0,0.13,3.0,1,0,0,0,161,7,31,4,2,1,10,0,29,1,train
CUST00047,2025-09-30,Tier 1,25-34,Organic,Gold,Baby Care,Yes,204,0,0,0,0,3.5,0,0,0,0,278,2,9,1,0,0,3,1,36,1,train
CUST00048,2025-09-30,Tier 1,25-34,Marketplace,Silver,Makeup,No,61,4,2450.45,0.25,0.312,3.25,3,0,0,0,192,12,38,2,2,1,0,0,12,0,validation
CUST00049,2025-09-30,Tier 1,25-34,Marketplace,None,Hair Care,Yes,8,1,380.83,0.0,0.47,5.0,1,0,0,0,32,4,13,1,1,1,3,1,0,0,train
CUST00050,2025-09-30,Tier 3,25-34,Referral,Gold,Hair Care,Yes,0,2,2026.54,0.5,0.3,2.5,2,0,0,0,250,3,12,1,1,0,3,1,0,0,train
CUST00051,2025-09-30,Tier 3,35-44,Instagram,None,Skin Care,Yes,210,0,0,0,0,3.5,0,0,0,0,597,6,32,2,1,1,8,2,35,1,train
CUST00052,2025-09-30,Tier 1,35-44,Marketplace,Silver,Skin Care,No,55,2,1820.53,0.0,0.19,4.0,2,0,0,0,376,7,34,2,1,1,0,0,8,1,train
CUST00053,2025-09-30,Tier 2,25-34,Instagram,Silver,Baby Care,Yes,25,3,2063.87,0.0,0.457,4.67,2,1,1.0,56.1,254,9,29,2,2,1,3,1,5,0,validation
CUST00054,2025-09-30,Tier 1,35-44,Referral,None,Hair Care,Yes,6,1,489.85,0.0,0.25,5.0,1,0,0,0,59,3,12,1,0,0,0,0,0,0,train
CUST00055,2025-09-30,Tier 3,25-34,Marketplace,None,Makeup,Yes,3,3,1308.35,0.0,0.247,4.0,2,0,0,0,268,6,32,2,1,1,7,2,0,0,train
CUST00056,2025-09-30,Tier 2,35-44,Google Search,None,Wellness,No,9,3,3150.69,0.0,0.287,4.0,2,1,0.0,19.9,192,3,15,1,1,1,0,0,0,0,validation
CUST00057,2025-09-30,Tier 2,25-34,Google Search,None,Hair Care,Yes,136,1,1713.34,0.0,0.14,3.0,1,0,0,0,250,7,21,1,0,0,9,1,29,1,train
CUST00058,2025-09-30,Tier 1,25-34,Google Search,None,Baby Care,Yes,42,1,644.61,0.0,0.21,4.0,1,0,0,0,628,2,6,1,0,0,8,4,6,0,test
CUST00059,2025-09-30,Tier 1,25-34,Google Search,Silver,Hair Care,Yes,2,2,1447.55,0.0,0.32,4.0,1,0,0,0,543,3,11,1,0,0,0,0,2,0,test
CUST00060,2025-09-30,Tier 1,25-34,Instagram,None,Skin Care,No,145,1,293.22,0.0,0.36,5.0,1,0,0,0,174,5,26,2,1,0,0,0,20,1,train
CUST00061,2025-09-30,Tier 3,35-44,Referral,None,Skin Care,Yes,14,3,1632.4,0.0,0.407,4.67,3,1,1.0,23.6,355,4,19,2,0,1,2,1,15,0,train
CUST00062,2025-09-30,Tier 3,25-34,Referral,Silver,Skin Care,Yes,21,3,2295.98,0.0,0.247,4.67,3,0,0,0,509,9,30,3,2,1,7,1,0,0,train
CUST00063,2025-09-30,Tier 1,18-24,Influencer,None,Fragrance,Yes,216,0,0,0,0,3.5,0,0,0,0,290,0,0,0,0,0,3,0,24,1,train
CUST00064,2025-09-30,Tier 1,45+,Google Search,None,Hair Care,No,2,1,654.93,0.0,0.43,4.0,1,0,0,0,62,8,42,4,1,3,0,0,0,0,test
CUST00065,2025-09-30,Tier 2,25-34,Referral,None,Skin Care,Yes,6,1,1911.67,0.0,0.0,5.0,1,0,0,0,185,3,18,0,1,0,4,2,0,0,train
CUST00066,2025-09-30,Tier 1,18-24,Instagram,None,Hair Care,Yes,320,0,0,0,0,3.5,0,0,0,0,555,11,35,2,2,1,5,1,60,1,train
CUST00067,2025-09-30,Tier 1,18-24,Google Search,Silver,Baby Care,Yes,63,2,1246.44,0.5,0.2,2.5,2,1,0.0,16.4,174,1,3,0,0,0,4,2,5,1,test
CUST00068,2025-09-30,Tier 1,18-24,Google Search,Silver,Baby Care,Yes,346,0,0,0,0,3.5,0,0,0,0,493,5,18,0,1,0,3,1,60,1,train
CUST00069,2025-09-30,Tier 2,25-34,Instagram,None,Hair Care,Yes,29,2,874.47,0.0,0.225,5.0,2,0,0,0,360,9,48,1,2,0,7,1,0,1,train
CUST00070,2025-09-30,Tier 1,25-34,Organic,Gold,Baby Care,Yes,38,1,542.98,0.0,0.34,2.0,1,0,0,0,49,1,4,0,0,0,1,0,18,1,train
CUST00071,2025-09-30,Tier 3,25-34,Influencer,None,Hair Care,Yes,32,1,2062.5,0.0,0.08,4.0,1,1,1.0,33.0,39,1,3,0,0,0,6,2,12,1,train
CUST00072,2025-09-30,Tier 1,35-44,Organic,None,Skin Care,Yes,90,2,1697.84,0.0,0.21,2.5,2,0,0,0,343,7,26,3,2,2,5,1,26,1,train
CUST00073,2025-09-30,Tier 2,25-34,Google Search,None,Hair Care,Yes,8,2,1150.72,0.0,0.235,2.0,2,0,0,0,637,7,35,1,0,0,4,1,0,0,train
CUST00074,2025-09-30,Tier 2,25-34,Instagram,Platinum,Baby Care,Yes,7,1,824.34,1.0,0.23,3.0,1,1,1.0,29.3,344,14,51,3,2,1,2,1,22,0,train
CUST00075,2025-09-30,Tier 3,45+,Referral,None,Fragrance,No,3,3,1287.45,0.0,0.297,4.67,3,0,0,0,408,10,43,2,1,1,0,0,13,0,train
CUST00076,2025-09-30,Tier 1,45+,Referral,None,Wellness,No,20,2,1385.27,0.0,0.22,5.0,1,0,0,0,144,17,78,7,5,4,0,0,8,0,train
CUST00077,2025-09-30,Tier 3,25-34,Google Search,None,Makeup,Yes,109,1,394.32,0.0,0.36,4.0,1,0,0,0,214,0,0,0,0,0,0,0,20,1,validation
CUST00078,2025-09-30,Tier 2,25-34,Referral,None,Hair Care,No,139,1,894.45,1.0,0.42,1.0,1,0,0,0,143,5,13,1,1,0,0,0,38,1,train
CUST00079,2025-09-30,Tier 2,18-24,Marketplace,Silver,Hair Care,No,191,0,0,0,0,3.5,0,0,0,0,218,2,8,0,0,0,0,0,31,1,train
CUST00080,2025-09-30,Tier 2,25-34,Organic,Gold,Hair Care,No,50,1,1461.68,0.0,0.11,2.0,1,0,0,0,509,11,31,4,1,2,0,0,3,0,train
CUST00081,2025-09-30,Tier 3,18-24,Google Search,Silver,Hair Care,No,19,5,3417.32,0.0,0.202,4.0,4,0,0,0,480,12,63,4,2,1,0,0,0,0,train
CUST00082,2025-09-30,Tier 3,25-34,Referral,None,Baby Care,Yes,254,0,0,0,0,3.5,0,0,0,0,314,7,35,2,1,1,7,3,44,1,test
CUST00083,2025-09-30,Tier 2,45+,Marketplace,None,Skin Care,No,89,2,806.87,0.5,0.335,3.5,1,1,1.0,11.0,194,9,43,2,1,1,0,0,17,1,train
CUST00084,2025-09-30,Tier 1,25-34,Google Search,Silver,Skin Care,Yes,167,1,1273.18,0.0,0.12,5.0,1,0,0,0,255,11,60,5,1,2,3,1,34,1,train
CUST00085,2025-09-30,Tier 2,18-24,Google Search,None,Skin Care,No,14,1,1257.8,0.0,0.2,5.0,1,0,0,0,41,8,34,0,1,0,0,0,0,1,train
CUST00086,2025-09-30,Tier 1,45+,Influencer,Silver,Hair Care,Yes,21,4,1741.15,0.0,0.268,4.25,1,1,1.0,6.6,285,7,39,2,1,1,5,2,0,0,test
CUST00087,2025-09-30,Tier 1,25-34,Marketplace,None,Fragrance,Yes,44,1,933.58,0.0,0.38,5.0,1,0,0,0,53,1,4,0,0,0,0,0,15,0,train
CUST00088,2025-09-30,Tier 2,45+,Organic,Gold,Makeup,Yes,98,2,1169.14,0.0,0.43,4.5,2,0,0,0,588,9,29,2,1,1,1,0,18,1,test
CUST00089,2025-09-30,Tier 3,25-34,Marketplace,None,Hair Care,Yes,165,1,1513.5,0.0,0.4,3.0,1,0,0,0,498,12,40,1,2,0,6,3,31,1,train
CUST00090,2025-09-30,Tier 1,18-24,Referral,Platinum,Baby Care,No,80,4,1966.31,0.0,0.375,4.5,3,0,0,0,213,5,25,3,1,1,0,0,36,0,train
CUST00091,2025-09-30,Tier 1,35-44,Instagram,Platinum,Skin Care,No,90,1,311.34,0.0,0.36,4.0,1,0,0,0,336,9,51,5,2,2,0,0,11,0,train
CUST00092,2025-09-30,Tier 3,25-34,Instagram,None,Hair Care,No,21,1,430.85,0.0,0.26,4.0,1,0,0,0,68,1,5,0,0,0,0,0,3,0,test
CUST00093,2025-09-30,Tier 1,18-24,Instagram,Gold,Baby Care,Yes,85,1,759.64,0.0,0.12,4.0,1,0,0,0,258,16,67,7,3,3,9,4,21,1,validation
CUST00094,2025-09-30,Tier 1,25-34,Instagram,None,Wellness,Yes,183,0,0,0,0,3.5,0,0,0,0,329,6,20,2,1,1,4,1,60,1,validation
CUST00095,2025-09-30,Tier 2,25-34,Instagram,None,Skin Care,Yes,65,1,372.65,0.0,0.41,4.0,1,1,1.0,5.3,85,10,57,1,2,1,2,1,7,1,train
CUST00096,2025-09-30,Tier 3,25-34,Organic,None,Makeup,No,61,2,1414.75,0.5,0.325,2.0,2,0,0,0,416,12,67,2,2,1,0,0,15,0,test
CUST00097,2025-09-30,Tier 3,45+,Instagram,None,Baby Care,Yes,1,3,2946.09,0.0,0.41,2.33,1,0,0,0,513,0,0,0,0,0,0,0,0,0,train
CUST00098,2025-09-30,Tier 2,18-24,Instagram,None,Fragrance,No,184,0,0,0,0,3.5,0,0,0,0,428,8,34,0,2,0,0,0,49,1,train
CUST00099,2025-09-30,Tier 2,45+,Organic,None,Fragrance,Yes,144,2,1471.51,0.0,0.105,5.0,1,0,0,0,490,4,17,2,1,0,5,2,27,0,train
CUST00100,2025-09-30,Tier 1,25-34,Referral,None,Skin Care,No,70,1,372.37,0.0,0.29,5.0,1,0,0,0,460,1,3,0,0,0,0,0,29,0,validation
CUST00101,2025-09-30,Tier 3,35-44,Marketplace,None,Baby Care,Yes,108,2,1240.21,0.0,0.255,4.5,2,0,0,0,594,2,6,1,0,1,0,0,27,1,train
CUST00102,2025-09-30,Tier 2,35-44,Organic,None,Skin Care,Yes,83,1,732.65,0.0,0.16,5.0,1,0,0,0,136,2,11,1,0,0,1,0,7,0,train
CUST00103,2025-09-30,Tier 2,25-34,Marketplace,None,Makeup,Yes,21,1,1469.96,0.0,0.08,5.0,1,0,0,0,27,6,18,2,1,1,4,1,0,0,train
CUST00104,2025-09-30,Tier 1,35-44,Organic,None,Makeup,Yes,93,1,955.63,0.0,0.31,5.0,1,0,0,0,176,3,9,1,0,0,3,0,27,1,validation
CUST00105,2025-09-30,Tier 3,18-24,Instagram,None,Makeup,Yes,46,1,2052.43,0.0,0.18,5.0,1,0,0,0,153,1,6,0,0,0,3,0,3,0,train
CUST00106,2025-09-30,Tier 3,25-34,Influencer,None,Wellness,No,61,1,436.15,0.0,0.24,3.0,1,0,0,0,513,5,19,1,1,0,0,0,21,1,train
CUST00107,2025-09-30,Tier 2,18-24,Organic,None,Baby Care,No,12,2,1658.13,0.0,0.125,5.0,2,0,0,0,421,2,8,1,0,1,0,0,10,0,validation
CUST00108,2025-09-30,Tier 3,18-24,Organic,None,Skin Care,No,44,1,1074.5,1.0,0.22,1.0,1,1,1.0,18.1,68,5,24,0,0,0,0,0,11,1,train
CUST00109,2025-09-30,Tier 1,25-34,Instagram,Silver,Skin Care,Yes,92,2,1622.28,0.0,0.255,4.5,2,0,0,0,492,1,4,0,0,0,3,1,16,0,test
CUST00110,2025-09-30,Tier 2,35-44,Referral,None,Skin Care,No,35,3,2424.8,0.0,0.233,5.0,2,2,0.5,34.9,319,4,15,1,1,0,0,0,8,1,train
CUST00111,2025-09-30,Tier 2,25-34,Google Search,Silver,Skin Care,Yes,178,1,1135.09,0.0,0.23,5.0,1,0,0,0,204,3,14,0,0,0,1,0,33,1,test
CUST00112,2025-09-30,Tier 1,18-24,Marketplace,None,Hair Care,No,0,4,2225.98,0.0,0.3,3.75,3,0,0,0,323,4,15,1,1,0,0,0,0,0,train
CUST00113,2025-09-30,Tier 1,35-44,Google Search,Silver,Hair Care,No,28,2,1601.31,0.0,0.385,4.0,2,0,0,0,129,17,65,2,5,0,0,0,2,0,train
CUST00114,2025-09-30,Tier 1,25-34,Google Search,None,Hair Care,Yes,239,0,0,0,0,3.5,0,0,0,0,619,3,14,1,0,0,4,1,41,1,test
CUST00115,2025-09-30,Tier 3,35-44,Instagram,Gold,Skin Care,Yes,159,1,596.54,0.0,0.14,3.0,1,0,0,0,167,12,51,1,2,0,10,2,23,1,train
CUST00116,2025-09-30,Tier 1,25-34,Referral,None,Hair Care,Yes,143,1,452.08,0.0,0.27,5.0,1,0,0,0,412,10,45,1,1,0,4,2,26,1,validation
CUST00117,2025-09-30,Tier 1,18-24,Marketplace,Silver,Baby Care,No,123,2,1268.88,0.0,0.28,3.5,2,0,0,0,533,2,7,1,0,0,0,0,27,1,train
CUST00118,2025-09-30,Tier 3,25-34,Referral,Silver,Baby Care,Yes,27,1,689.56,0.0,0.18,5.0,1,0,0,0,45,2,9,1,0,0,0,0,1,0,train
CUST00119,2025-09-30,Tier 1,25-34,Instagram,None,Skin Care,No,69,1,2019.98,0.0,0.25,4.0,1,1,0.0,6.0,357,12,63,2,2,1,0,0,1,0,train
CUST00120,2025-09-30,Tier 2,25-34,Referral,Silver,Fragrance,No,26,1,261.95,0.0,0.27,5.0,1,0,0,0,30,6,21,3,0,1,0,0,5,0,train
CUST00121,2025-09-30,Tier 1,18-24,Instagram,Gold,Hair Care,Yes,27,2,2496.03,0.0,0.19,2.5,1,0,0,0,125,5,29,2,1,1,3,1,2,0,validation
CUST00122,2025-09-30,Tier 2,25-34,Google Search,Gold,Hair Care,Yes,106,2,2048.93,0.0,0.36,4.0,2,0,0,0,189,10,39,1,2,1,10,4,30,1,train
CUST00123,2025-09-30,Tier 2,18-24,Google Search,Silver,Baby Care,No,102,4,2117.52,0.0,0.335,4.0,3,0,0,0,301,2,6,1,0,1,0,0,23,0,train
CUST00124,2025-09-30,Tier 2,25-34,Marketplace,None,Makeup,Yes,194,0,0,0,0,3.5,0,0,0,0,280,5,18,2,1,1,0,0,43,1,train
CUST00125,2025-09-30,Tier 2,18-24,Referral,None,Hair Care,Yes,8,2,1698.4,0.0,0.395,3.5,2,0,0,0,99,0,0,0,0,0,5,1,0,0,train
CUST00126,2025-09-30,Tier 3,18-24,Instagram,Silver,Fragrance,Yes,57,1,919.95,0.0,0.6,3.0,1,0,0,0,480,5,30,1,1,1,3,0,3,1,train
CUST00127,2025-09-30,Tier 1,18-24,Marketplace,Silver,Wellness,Yes,24,2,729.55,0.0,0.295,3.0,1,0,0,0,253,3,13,1,0,0,0,0,15,0,test
CUST00128,2025-09-30,Tier 2,25-34,Organic,None,Skin Care,No,19,2,1716.68,0.0,0.42,3.5,1,0,0,0,184,15,88,6,2,4,0,0,0,0,test
CUST00129,2025-09-30,Tier 1,25-34,Google Search,None,Wellness,No,83,3,3369.08,0.333,0.313,2.33,2,1,0.0,15.8,187,7,34,3,2,2,0,0,2,0,train
CUST00130,2025-09-30,Tier 1,25-34,Organic,Gold,Skin Care,Yes,88,1,1272.47,0.0,0.48,4.0,1,0,0,0,258,9,36,1,0,0,5,0,12,0,train
CUST00131,2025-09-30,Tier 3,35-44,Influencer,None,Hair Care,Yes,67,1,2157.15,0.0,0.17,2.0,1,0,0,0,411,4,12,2,1,1,5,0,14,1,train
CUST00132,2025-09-30,Tier 2,35-44,Organic,None,Skin Care,Yes,117,1,1621.76,0.0,0.18,3.0,1,0,0,0,537,1,3,0,0,0,6,0,24,1,train
CUST00133,2025-09-30,Tier 1,45+,Instagram,None,Wellness,Yes,54,6,4776.26,0.0,0.365,3.83,3,0,0,0,633,5,19,0,1,0,5,1,12,0,test
CUST00134,2025-09-30,Tier 2,25-34,Marketplace,None,Fragrance,Yes,35,2,1527.11,0.5,0.3,3.0,2,0,0,0,590,11,49,1,3,1,8,0,4,0,validation
CUST00135,2025-09-30,Tier 1,25-34,Google Search,None,Skin Care,Yes,333,0,0,0,0,3.5,0,0,0,0,491,3,10,1,0,0,4,1,60,1,test
CUST00136,2025-09-30,Tier 2,35-44,Instagram,Gold,Skin Care,No,71,1,514.9,0.0,0.3,5.0,1,0,0,0,119,7,40,2,1,1,0,0,15,1,train
CUST00137,2025-09-30,Tier 2,25-34,Instagram,Silver,Makeup,Yes,177,2,1035.87,0.0,0.315,4.0,2,0,0,0,285,4,13,2,1,1,1,0,31,1,test
CUST00138,2025-09-30,Tier 2,45+,Instagram,None,Makeup,Yes,61,1,905.11,0.0,0.46,3.0,1,0,0,0,163,5,14,0,1,0,3,1,24,0,train
CUST00139,2025-09-30,Tier 2,45+,Influencer,None,Skin Care,Yes,28,2,1715.4,0.0,0.295,4.0,2,2,1.0,37.6,315,5,17,3,0,1,0,0,10,0,test
CUST00140,2025-09-30,Tier 3,25-34,Referral,None,Hair Care,Yes,6,3,3416.05,0.0,0.247,3.67,3,1,0.0,31.3,299,14,59,4,1,3,1,0,12,0,test
CUST00141,2025-09-30,Tier 1,25-34,Referral,None,Wellness,Yes,28,1,647.85,0.0,0.23,5.0,1,0,0,0,107,4,19,1,1,0,5,1,0,0,test
CUST00142,2025-09-30,Tier 2,25-34,Instagram,None,Hair Care,No,169,1,369.26,0.0,0.37,1.0,1,0,0,0,325,2,7,0,1,0,0,0,41,1,test
CUST00143,2025-09-30,Tier 2,18-24,Google Search,Silver,Makeup,Yes,32,3,4028.8,0.0,0.14,4.33,3,0,0,0,580,5,23,1,1,1,2,1,9,0,train
CUST00144,2025-09-30,Tier 2,25-34,Google Search,Gold,Skin Care,Yes,86,2,928.58,0.0,0.295,4.5,2,1,1.0,27.5,570,8,32,3,1,0,6,2,17,0,validation
CUST00145,2025-09-30,Tier 1,18-24,Google Search,None,Wellness,No,30,1,502.35,0.0,0.11,5.0,1,0,0,0,51,0,0,0,0,0,0,0,0,1,validation
CUST00146,2025-09-30,Tier 2,35-44,Instagram,Silver,Makeup,Yes,108,1,986.21,0.0,0.31,5.0,1,0,0,0,370,4,15,1,1,0,5,1,30,0,train
CUST00147,2025-09-30,Tier 3,45+,Influencer,Platinum,Makeup,Yes,84,3,2809.32,0.0,0.183,3.33,2,0,0,0,183,1,3,0,0,0,0,0,29,0,train
CUST00148,2025-09-30,Tier 2,35-44,Instagram,None,Skin Care,Yes,4,3,1990.51,0.0,0.25,3.67,3,0,0,0,460,5,21,2,0,1,2,1,8,0,train
CUST00149,2025-09-30,Tier 3,18-24,Instagram,None,Makeup,Yes,8,1,787.94,0.0,0.2,5.0,1,0,0,0,74,8,21,3,1,2,2,0,0,0,train
