customer_id,signup_date,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,skin_type,marketing_consent
CUST00038,2025-01-23,Tier 3,35-44,Marketplace,None,Baby Care,Oily,Yes
CUST00039,2024-11-25,Tier 2,25-34,Instagram,None,Wellness,NA,Yes
CUST00040,2024-12-09,Tier 3,18-24,Instagram,None,Fragrance,Dry,Yes
CUST00041,2024-03-15,Tier 3,25-34,Referral,Silver,Hair Care,Combination,Yes
CUST00042,2024-04-19,Tier 1,35-44,Organic,Silver,Hair Care,Normal,Yes
CUST00043,2025-06-27,Tier 2,45+,Influencer,Gold,Baby Care,NA,No
CUST00044,2024-06-11,Tier 2,35-44,Google Search,None,Baby Care,Normal,Yes
CUST00045,2024-08-28,Tier 1,25-34,Referral,None,Skin Care,NA,Yes
CUST00046,2025-04-22,Tier 1,25-34,Referral,Gold,Baby Care,NA,Yes
CUST00047,2024-12-26,Tier 1,25-34,Organic,Gold,Baby Care,NA,Yes
CUST00048,2025-03-22,Tier 1,25-34,Marketplace,Silver,Makeup,Combination,No
CUST00049,2025-08-29,Tier 1,25-34,Marketplace,None,Hair Care,Oily,Yes
CUST00050,2025-01-23,Tier 3,25-34,Referral,Gold,Hair Care,NA,Yes
CUST00051,2024-02-11,Tier 3,35-44,Instagram,None,Skin Care,Dry,Yes
CUST00052,2024-09-19,Tier 1,35-44,Marketplace,Silver,Skin Care,Dry,No
CUST00053,2025-01-19,Tier 2,25-34,Instagram,Silver,Baby Care,Oily,Yes
CUST00054,2025-08-02,Tier 1,35-44,Referral,None,Hair Care,Sensitive,Yes
CUST00055,2025-01-05,Tier 3,25-34,Marketplace,None,Makeup,NA,Yes
CUST00056,2025-03-22,Tier 2,35-44,Google Search,None,Wellness,Sensitive,No
CUST00057,2025-01-23,Tier 2,25-34,Google Search,None,Hair Care,Sensitive,Yes
CUST00058,2024-01-11,Tier 1,25-34,Google Search,None,Baby Care,Dry,Yes
CUST00059,2024-04-05,Tier 1,25-34,Google Search,Silver,Hair Care,Normal,Yes
CUST00060,2025-04-09,Tier 1,25-34,Instagram,None,Skin Care,Normal,No
CUST00061,2024-10-10,Tier 3,35-44,Referral,None,Skin Care,Dry,Yes
CUST00062,2024-05-09,Tier 3,25-34,Referral,Silver,Skin Care,Combination,Yes
CUST00063,2024-12-14,Tier 1,18-24,Influencer,None,Fragrance,Combination,Yes
CUST00064,2025-07-30,Tier 1,45+,Google Search,None,Hair Care,Normal,No
CUST00065,2025-03-29,Tier 2,25-34,Referral,None,Skin Care,NA,Yes
CUST00066,2024-03-24,Tier 1,18-24,Instagram,None,Hair Care,Normal,Yes
CUST00067,2025-04-09,Tier 1,18-24,Google Search,Silver,Baby Care,Dry,Yes
CUST00068,2024-05-25,Tier 1,18-24,Google Search,Silver,Baby Care,Sensitive,Yes
CUST00069,2024-10-05,Tier 2,25-34,Instagram,None,Hair Care,Sensitive,Yes
CUST00070,2025-08-12,Tier 1,25-34,Organic,Gold,Baby Care,Dry,Yes
CUST00071,2025-08-22,Tier 3,25-34,Influencer,None,Hair Care,Sensitive,Yes
CUST00072,2024-10-22,Tier 1,35-44,Organic,None,Skin Care,Sensitive,Yes
CUST00073,2024-01-02,Tier 2,25-34,Google Search,None,Hair Care,Combination,Yes
CUST00074,2024-10-21,Tier 2,25-34,Instagram,Platinum,Baby Care,Dry,Yes
CUST00075,2024-08-18,Tier 3,45+,Referral,None,Fragrance,Combination,No
CUST00076,2025-05-09,Tier 1,45+,Referral,None,Wellness,Normal,No
CUST00077,2025-02-28,Tier 3,25-34,Google Search,None,Makeup,Normal,Yes
CUST00078,2025-05-10,Tier 2,25-34,Referral,None,Hair Care,Dry,No
CUST00079,2025-02-24,Tier 2,18-24,Marketplace,Silver,Hair Care,NA,No
CUST00080,2024-05-09,Tier 2,25-34,Organic,Gold,Hair Care,Normal,No
CUST00081,2024-06-07,Tier 3,18-24,Google Search,Silver,Hair Care,Oily,No
CUST00082,2024-11-20,Tier 3,25-34,Referral,None,Baby Care,Dry,Yes
CUST00083,2025-03-20,Tier 2,45+,Marketplace,None,Skin Care,Sensitive,No
CUST00084,2025-01-18,Tier 1,25-34,Google Search,Silver,Skin Care,Dry,Yes
CUST00085,2025-08-20,Tier 2,18-24,Google Search,None,Skin Care,Combination,No
CUST00086,2024-12-19,Tier 1,45+,Influencer,Silver,Hair Care,Sensitive,Yes
CUST00087,2025-08-08,Tier 1,25-34,Marketplace,None,Fragrance,Combination,Yes
CUST00088,2024-02-20,Tier 2,45+,Organic,Gold,Makeup,Dry,Yes
CUST00089,2024-05-20,Tier 3,25-34,Marketplace,None,Hair Care,Normal,Yes
CUST00090,2025-03-01,Tier 1,18-24,Referral,Platinum,Baby Care,Sensitive,No
CUST00091,2024-10-29,Tier 1,35-44,Instagram,Platinum,Skin Care,Dry,No
CUST00092,2025-07-24,Tier 3,25-34,Instagram,None,Hair Care,NA,No
CUST00093,2025-01-15,Tier 1,18-24,Instagram,Gold,Baby Care,Normal,Yes
CUST00094,2024-11-05,Tier 1,25-34,Instagram,None,Wellness,Oily,Yes
CUST00095,2025-07-07,Tier 2,25-34,Instagram,None,Skin Care,Combination,Yes
CUST00096,2024-08-10,Tier 3,25-34,Organic,None,Makeup,Normal,No
CUST00097,2024-05-05,Tier 3,45+,Instagram,None,Baby Care,Oily,Yes
CUST00098,2024-07-29,Tier 2,18-24,Instagram,None,Fragrance,Sensitive,No
CUST00099,2024-05-28,Tier 2,45+,Organic,None,Fragrance,Dry,Yes
CUST00100,2024-06-27,Tier 1,25-34,Referral,None,Skin Care,Combination,No
CUST00101,2024-02-14,Tier 3,35-44,Marketplace,None,Baby Care,Oily,Yes
CUST00102,2025-05-17,Tier 2,35-44,Organic,None,Skin Care,Dry,Yes
CUST00103,2025-09-03,Tier 2,25-34,Marketplace,None,Makeup,NA,Yes
CUST00104,2025-04-07,Tier 1,35-44,Organic,None,Makeup,Sensitive,Yes
CUST00105,2025-04-30,Tier 3,18-24,Instagram,None,Makeup,Dry,Yes
CUST00106,2024-05-05,Tier 3,25-34,Influencer,None,Wellness,Oily,No
CUST00107,2024-08-05,Tier 2,18-24,Organic,None,Baby Care,Oily,No
CUST00108,2025-07-24,Tier 3,18-24,Organic,None,Skin Care,NA,No
CUST00109,2024-05-26,Tier 1,25-34,Instagram,Silver,Skin Care,NA,Yes
CUST00110,2024-11-15,Tier 2,35-44,Referral,None,Skin Care,Dry,No
CUST00111,2025-03-10,Tier 2,25-34,Google Search,Silver,Skin Care,Combination,Yes
CUST00112,2024-11-11,Tier 1,18-24,Marketplace,None,Hair Care,Dry,No
CUST00113,2025-05-24,Tier 1,35-44,Google Search,Silver,Hair Care,NA,No
CUST00114,2024-01-20,Tier 1,25-34,Google Search,None,Hair Care,NA,Yes
CUST00115,2025-04-16,Tier 3,35-44,Instagram,Gold,Skin Care,Normal,Yes
CUST00116,2024-08-14,Tier 1,25-34,Referral,None,Hair Care,Sensitive,Yes
CUST00117,2024-04-15,Tier 1,18-24,Marketplace,Silver,Baby Care,Dry,No
CUST00118,2025-08-16,Tier 3,25-34,Referral,Silver,Baby Care,NA,Yes
CUST00119,2024-10-08,Tier 1,25-34,Instagram,None,Skin Care,Sensitive,No
CUST00120,2025-08-31,Tier 2,25-34,Referral,Silver,Fragrance,Combination,No
CUST00121,2025-05-28,Tier 1,18-24,Instagram,Gold,Hair Care,NA,Yes
CUST00122,2025-03-25,Tier 2,25-34,Google Search,Gold,Hair Care,Sensitive,Yes
CUST00123,2024-12-03,Tier 2,18-24,Google Search,Silver,Baby Care,Normal,No
CUST00124,2024-12-24,Tier 2,25-34,Marketplace,None,Makeup,Oily,Yes
CUST00125,2025-06-23,Tier 2,18-24,Referral,None,Hair Care,Dry,Yes
CUST00126,2024-06-07,Tier 3,18-24,Instagram,Silver,Fragrance,Normal,Yes
CUST00127,2025-01-20,Tier 1,18-24,Marketplace,Silver,Wellness,NA,Yes
CUST00128,2025-03-30,Tier 2,25-34,Organic,None,Skin Care,Combination,No
CUST00129,2025-03-27,Tier 1,25-34,Google Search,None,Wellness,Dry,No
CUST00130,2025-01-15,Tier 1,25-34,Organic,Gold,Skin Care,Dry,Yes
CUST00131,2024-08-15,Tier 3,35-44,Influencer,None,Hair Care,Sensitive,Yes
CUST00132,2024-04-11,Tier 2,35-44,Organic,None,Skin Care,Combination,Yes
CUST00133,2024-01-06,Tier 1,45+,Instagram,None,Wellness,Normal,Yes
CUST00134,2024-02-18,Tier 2,25-34,Marketplace,None,Fragrance,Combination,Yes
CUST00135,2024-05-27,Tier 1,25-34,Google Search,None,Skin Care,NA,Yes
CUST00136,2025-06-03,Tier 2,35-44,Instagram,Gold,Skin Care,Combination,No
CUST00137,2024-12-19,Tier 2,25-34,Instagram,Silver,Makeup,Dry,Yes
CUST00138,2025-04-20,Tier 2,45+,Instagram,None,Makeup,Combination,Yes
CUST00139,2024-11-19,Tier 2,45+,Influencer,None,Skin Care,NA,Yes
CUST00140,2024-12-05,Tier 3,25-34,Referral,None,Hair Care,Combination,Yes
CUST00141,2025-06-15,Tier 1,25-34,Referral,None,Wellness,Dry,Yes
CUST00142,2024-11-09,Tier 2,25-34,Instagram,None,Hair Care,NA,No
CUST00143,2024-02-28,Tier 2,18-24,Google Search,Silver,Makeup,Oily,Yes
CUST00144,2024-03-09,Tier 2,25-34,Google Search,Gold,Skin Care,Dry,Yes
CUST00145,2025-08-10,Tier 1,18-24,Google Search,None,Wellness,Oily,No
CUST00146,2024-09-25,Tier 2,35-44,Instagram,Silver,Makeup,Combination,Yes
CUST00147,2025-03-31,Tier 3,45+,Influencer,Platinum,Makeup,NA,Yes
CUST00148,2024-06-27,Tier 2,35-44,Instagram,None,Skin Care,Combination,Yes
CUST00149,2025-07-18,Tier 3,18-24,Instagram,None,Makeup,Combination,Yes
CUST00150,2024-11-20,Tier 2,25-34,Marketplace,None,Fragrance,Normal,Yes
CUST00151,2024-02-26,Tier 2,35-44,Google Search,None,Wellness,Dry,Yes
CUST00152,2024-09-13,Tier 3,18-24,Google Search,Silver,Baby Care,Oily,Yes
CUST00153,2025-09-11,Tier 3,25-34,Instagram,Gold,Skin Care,NA,No
CUST00154,2024-02-01,Tier 2,25-34,Google Search,Gold,Hair Care,NA,Yes
CUST00155,2025-03-01,Tier 1,25-34,Marketplace,None,Makeup,NA,No
CUST00156,2025-06-11,Tier 1,25-34,Referral,None,Skin Care,Oily,Yes
CUST00157,2024-06-12,Tier 3,35-44,Marketplace,None,Skin Care,Normal,Yes
CUST00158,2025-02-06,Tier 3,25-34,Instagram,None,Skin Care,Combination,Yes
CUST00159,2024-01-09,Tier 2,35-44,Organic,Silver,Makeup,Sensitive,Yes
CUST00160,2024-10-22,Tier 2,18-24,Organic,None,Wellness,NA,Yes
CUST00161,2024-12-13,Tier 1,25-34,Instagram,Silver,Hair Care,Oily,Yes
CUST00162,2025-04-12,Tier 3,18-24,Instagram,Gold,Hair Care,Combination,No
CUST00163,2025-06-05,Tier 2,25-34,Google Search,Silver,Hair Care,NA,Yes
CUST00164,2024-01-28,Tier 1,25-34,Marketplace,Platinum,Baby Care,Dry,No
CUST00165,2025-01-24,Tier 2,18-24,Instagram,Gold,Skin Care,Oily,Yes
CUST00166,2025-05-28,Tier 3,35-44,Organic,Silver,Skin Care,Dry,Yes
CUST00167,2025-01-20,Tier 1,25-34,Influencer,None,Hair Care,NA,Yes
CUST00168,2024-09-09,Tier 1,25-34,Influencer,Platinum,Makeup,NA,Yes
CUST00169,2024-10-07,Tier 2,25-34,Referral,Gold,Hair Care,Sensitive,No
CUST00170,2024-03-21,Tier 2,25-34,Google Search,None,Skin Care,Normal,Yes
CUST00171,2025-08-23,Tier 1,25-34,Influencer,None,Skin Care,Oily,Yes
CUST00172,2024-01-06,Tier 3,45+,Instagram,Silver,Fragrance,Combination,Yes
CUST00173,2024-03-01,Tier 1,45+,Referral,None,Makeup,Oily,No
CUST00174,2024-02-07,Tier 1,45+,Referral,Gold,Wellness,Sensitive,No
CUST00175,2024-12-09,Tier 3,25-34,Referral,None,Wellness,Normal,Yes
CUST00176,2025-04-14,Tier 2,25-34,Instagram,None,Skin Care,NA,No
CUST00177,2025-03-13,Tier 1,25-34,Marketplace,None,Skin Care,Sensitive,No
CUST00178,2024-09-30,Tier 1,45+,Marketplace,None,Baby Care,NA,Yes
CUST00179,2025-05-29,Tier 3,45+,Organic,Silver,Baby Care,Sensitive,Yes
CUST00180,2025-04-10,Tier 2,35-44,Google Search,None,Hair Care,Normal,No
CUST00181,2025-09-02,Tier 1,35-44,Referral,Silver,Skin Care,Normal,Yes
CUST00182,2025-07-03,Tier 1,18-24,Referral,None,Skin Care,Normal,Yes
CUST00183,2024-05-15,Tier 2,25-34,Instagram,None,Fragrance,NA,Yes
CUST00184,2024-03-15,Tier 1,18-24,Instagram,Platinum,Wellness,Oily,No
CUST00185,2024-05-18,Tier 3,35-44,Marketplace,None,Wellness,Combination,Yes
CUST00186,2025-07-06,Tier 3,18-24,Instagram,Platinum,Hair Care,Dry,No
CUST00187,2024-11-01,Tier 2,25-34,Referral,None,Skin Care,Combination,Yes
CUST00188,2024-04-25,Tier 2,18-24,Marketplace,Gold,Fragrance,Dry,Yes
CUST00189,2024-02-19,Tier 1,25-34,Referral,None,Makeup,Oily,Yes
CUST00190,2025-08-12,Tier 2,25-34,Marketplace,None,Hair Care,Dry,No
CUST00191,2025-07-24,Tier 3,45+,Influencer,Silver,Hair Care,Combination,Yes
CUST00192,2025-06-21,Tier 1,25-34,Instagram,None,Makeup,Combination,Yes
CUST00193,2025-04-19,Tier 2,45+,Influencer,None,Skin Care,Dry,Yes
CUST00194,2025-01-14,Tier 2,18-24,Instagram,None,Makeup,Normal,Yes
CUST00195,2025-07-26,Tier 1,18-24,Influencer,None,Wellness,Dry,No
CUST00196,2025-05-05,Tier 2,45+,Marketplace,None,Skin Care,Sensitive,No
CUST00197,2024-09-24,Tier 3,25-34,Referral,Silver,Makeup,Sensitive,No
CUST00198,2024-08-14,Tier 1,35-44,Referral,Silver,Makeup,Sensitive,Yes
CUST00199,2025-05-26,Tier 3,25-34,Google Search,Silver,Hair Care,NA,Yes
CUST00200,2024-06-22,Tier 2,18-24,Instagram,Gold,Wellness,Oily,Yes
CUST00201,2024-02-19,Tier 1,35-44,Organic,None,Makeup,Oily,Yes
CUST00202,2025-05-09,Tier 1,25-34,Referral,None,Skin Care,NA,Yes
CUST00203,2025-03-16,Tier 3,35-44,Instagram,None,Skin Care,Dry,Yes
CUST00204,2024-03-21,Tier 1,25-34,Referral,Platinum,Skin Care,NA,No
CUST00205,2024-02-02,Tier 1,18-24,Referral,None,Skin Care,Dry,Yes
CUST00206,2024-04-07,Tier 3,35-44,Instagram,Gold,Makeup,Normal,Yes
CUST00207,2025-07-10,Tier 1,25-34,Influencer,None,Wellness,Normal,Yes
CUST00208,2024-11-02,Tier 1,18-24,Organic,None,Fragrance,Sensitive,Yes
CUST00209,2024-03-21,Tier 3,25-34,Instagram,None,Fragrance,Sensitive,Yes
CUST00210,2024-11-30,Tier 1,18-24,Influencer,None,Hair Care,Combination,Yes
CUST00211,2024-10-29,Tier 2,35-44,Instagram,None,Makeup,NA,Yes
CUST00212,2024-11-11,Tier 2,25-34,Instagram,None,Hair Care,Normal,Yes
CUST00213,2024-04-05,Tier 3,25-34,Organic,None,Hair Care,Oily,No
CUST00214,2025-06-17,Tier 1,18-24,Instagram,None,Hair Care,Oily,Yes
CUST00215,2025-01-04,Tier 1,25-34,Marketplace,Silver,Skin Care,Oily,Yes
CUST00216,2025-01-24,Tier 1,35-44,Google Search,Silver,Fragrance,Normal,Yes
CUST00217,2024-11-17,Tier 1,18-24,Google Search,Silver,Baby Care,Normal,No
CUST00218,2025-01-08,Tier 2,18-24,Marketplace,None,Makeup,Normal,Yes
CUST00219,2024-10-25,Tier 1,35-44,Organic,Silver,Makeup,Dry,Yes
CUST00220,2025-01-21,Tier 3,18-24,Referral,None,Hair Care,NA,Yes
CUST00221,2025-07-03,Tier 3,25-34,Instagram,None,Makeup,Dry,Yes
CUST00222,2025-02-13,Tier 1,45+,Organic,None,Skin Care,Dry,Yes
CUST00223,2025-04-01,Tier 2,25-34,Marketplace,Silver,Skin Care,Oily,Yes
CUST00224,2024-05-25,Tier 1,25-34,Organic,None,Hair Care,Oily,Yes
CUST00225,2024-04-27,Tier 1,18-24,Instagram,Silver,Wellness,NA,Yes
CUST00226,2025-04-18,Tier 1,25-34,Instagram,Silver,Hair Care,Oily,No
CUST00227,2024-01-05,Tier 1,35-44,Marketplace,Silver,Skin Care,Oily,No
CUST00228,2024-04-26,Tier 3,25-34,Referral,Silver,Baby Care,Normal,Yes
CUST00229,2024-06-25,Tier 2,35-44,Google Search,Silver,Skin Care,Dry,Yes
CUST00230,2024-05-24,Tier 1,25-34,Instagram,None,Skin Care,NA,Yes
CUST00231,2024-06-19,Tier 1,25-34,Google Search,None,Skin Care,Sensitive,No
CUST00232,2025-07-29,Tier 2,25-34,Marketplace,None,Fragrance,Combination,Yes
CUST00233,2024-02-03,Tier 2,25-34,Instagram,None,Makeup,Combination,Yes
CUST00234,2025-01-10,Tier 2,25-34,Organic,None,Skin Care,Combination,Yes
CUST00235,2024-02-03,Tier 1,25-34,Organic,None,Wellness,Dry,Yes
CUST00236,2025-03-14,Tier 1,18-24,Instagram,None,Skin Care,Sensitive,Yes
CUST00237,2024-10-26,Tier 1,25-34,Organic,Platinum,Makeup,Oily,Yes
CUST00238,2024-10-10,Tier 1,35-44,Organic,None,Makeup,Dry,No
CUST00239,2024-10-02,Tier 1,25-34,Instagram,Silver,Makeup,Combination,Yes
CUST00240,2025-05-14,Tier 1,25-34,Organic,Silver,Makeup,Combination,Yes
CUST00241,2025-02-11,Tier 2,18-24,Instagram,None,Fragrance,Sensitive,Yes
CUST00242,2024-02-19,Tier 2,18-24,Organic,None,Wellness,Dry,Yes
CUST00243,2024-05-15,Tier 1,35-44,Organic,Gold,Skin Care,Sensitive,Yes
CUST00244,2025-02-09,Tier 2,25-34,Marketplace,None,Skin Care,Oily,Yes
CUST00245,2025-03-31,Tier 2,18-24,Organic,Platinum,Hair Care,Dry,Yes
CUST00246,2024-04-15,Tier 3,25-34,Instagram,Silver,Makeup,Dry,Yes
CUST00247,2024-06-17,Tier 2,25-34,Marketplace,None,Hair Care,NA,Yes
CUST00248,2024-05-06,Tier 1,25-34,Influencer,None,Skin Care,Sensitive,Yes
CUST00249,2024-10-18,Tier 2,35-44,Organic,Silver,Hair Care,Normal,Yes
CUST00250,2024-09-02,Tier 1,25-34,Referral,Silver,Baby Care,Oily,No
CUST00251,2025-08-05,Tier 2,25-34,Instagram,None,Wellness,Oily,Yes
CUST00252,2024-03-02,Tier 1,45+,Google Search,Silver,Makeup,Combination,Yes
CUST00253,2024-10-11,Tier 1,18-24,Influencer,Platinum,Skin Care,Sensitive,Yes
CUST00254,2024-03-08,Tier 2,25-34,Influencer,None,Skin Care,Combination,Yes
CUST00255,2024-06-28,Tier 2,18-24,Marketplace,None,Wellness,Normal,Yes
CUST00256,2024-10-02,Tier 1,35-44,Organic,None,Hair Care,Normal,Yes
CUST00257,2025-04-11,Tier 1,25-34,Organic,None,Skin Care,Oily,No
CUST00258,2024-01-03,Tier 3,18-24,Google Search,None,Hair Care,Dry,Yes
CUST00259,2025-03-05,Tier 1,25-34,Influencer,None,Fragrance,Normal,Yes
CUST00260,2025-06-12,Tier 3,45+,Instagram,None,Skin Care,Sensitive,Yes
CUST00261,2025-07-31,Tier 2,35-44,Google Search,None,Wellness,Dry,No
CUST00262,2025-02-23,Tier 2,18-24,Marketplace,Silver,Skin Care,Sensitive,Yes
CUST00263,2024-04-16,Tier 3,18-24,Google Search,Platinum,Wellness,Dry,Yes
CUST00264,2025-06-16,Tier 3,25-34,Referral,Silver,Baby Care,Normal,Yes
CUST00265,2025-03-21,Tier 1,35-44,Google Search,Gold,Wellness,Combination,Yes
CUST00266,2024-03-17,Tier 1,45+,Organic,None,Skin Care,Combination,Yes
CUST00267,2024-07-31,Tier 2,25-34,Organic,None,Fragrance,Sensitive,No
CUST00268,2024-12-01,Tier 2,18-24,Influencer,None,Skin Care,Sensitive,Yes
CUST00269,2025-04-08,Tier 2,25-34,Instagram,None,Makeup,Oily,Yes
CUST00270,2025-02-14,Tier 2,25-34,Marketplace,Silver,Skin Care,Oily,Yes
CUST00271,2024-05-11,Tier 3,18-24,Organic,None,Wellness,Oily,Yes
CUST00272,2024-01-31,Tier 2,25-34,Google Search,Gold,Skin Care,Combination,No
CUST00273,2024-10-29,Tier 3,25-34,Referral,None,Hair Care,Combination,Yes
CUST00274,2025-07-10,Tier 3,35-44,Organic,None,Baby Care,Combination,Yes
CUST00275,2024-01-27,Tier 1,25-34,Organic,Silver,Skin Care,Combination,Yes
CUST00276,2024-04-12,Tier 1,25-34,Referral,Silver,Makeup,Dry,Yes
CUST00277,2024-06-26,Tier 2,18-24,Organic,Silver,Wellness,Oily,Yes
CUST00278,2024-07-11,Tier 3,35-44,Influencer,None,Skin Care,Oily,Yes
CUST00279,2024-01-01,Tier 2,25-34,Organic,None,Skin Care,Sensitive,Yes
CUST00280,2024-04-23,Tier 3,35-44,Influencer,None,Wellness,Combination,Yes
CUST00281,2025-03-23,Tier 3,35-44,Marketplace,None,Wellness,NA,No
CUST00282,2024-06-28,Tier 2,25-34,Google Search,None,Skin Care,NA,No
CUST00283,2024-02-03,Tier 1,18-24,Organic,Silver,Baby Care,Oily,No
CUST00284,2024-11-23,Tier 3,18-24,Instagram,Silver,Baby Care,Sensitive,Yes
CUST00285,2024-09-19,Tier 2,35-44,Instagram,None,Hair Care,Dry,No
CUST00286,2024-04-13,Tier 3,35-44,Referral,Silver,Skin Care,Combination,Yes
CUST00287,2024-04-17,Tier 1,18-24,Google Search,Silver,Baby Care,Oily,Yes
CUST00288,2025-03-17,Tier 1,45+,Organic,None,Skin Care,Dry,No
CUST00289,2025-07-07,Tier 1,25-34,Instagram,None,Baby Care,Combination,Yes
CUST00290,2025-09-06,Tier 1,25-34,Instagram,Silver,Wellness,Combination,No
CUST00291,2024-09-28,Tier 2,18-24,Instagram,Gold,Hair Care,Combination,Yes
CUST00292,2025-07-31,Tier 2,18-24,Marketplace,None,Hair Care,Normal,Yes
CUST00293,2025-01-31,Tier 1,35-44,Referral,Gold,Hair Care,Dry,Yes
CUST00294,2025-05-29,Tier 2,25-34,Referral,Platinum,Skin Care,Combination,Yes
CUST00295,2024-05-09,Tier 1,18-24,Marketplace,None,Fragrance,Dry,No
CUST00296,2024-03-09,Tier 2,18-24,Referral,Gold,Hair Care,Oily,No
CUST00297,2025-02-28,Tier 2,18-24,Marketplace,Platinum,Skin Care,Oily,Yes
CUST00298,2024-12-18,Tier 1,35-44,Marketplace,None,Hair Care,Dry,Yes
CUST00299,2024-02-09,Tier 3,25-34,Marketplace,None,Hair Care,Sensitive,No
CUST00300,2024-10-14,Tier 3,35-44,Marketplace,Platinum,Skin Care,Sensitive,No
CUST00301,2025-03-02,Tier 1,25-34,Referral,Gold,Hair Care,Combination,No
CUST00302,2024-06-11,Tier 2,18-24,Google Search,Silver,Baby Care,Normal,Yes
CUST00303,2024-09-12,Tier 1,18-24,Google Search,None,Hair Care,Combination,Yes
CUST00304,2025-01-16,Tier 2,25-34,Influencer,None,Baby Care,Sensitive,Yes
CUST00305,2024-10-18,Tier 1,18-24,Organic,Silver,Skin Care,Dry,Yes
CUST00306,2024-01-21,Tier 3,35-44,Marketplace,None,Skin Care,Dry,Yes
CUST00307,2024-11-08,Tier 2,35-44,Google Search,Gold,Fragrance,Combination,Yes
CUST00308,2025-02-10,Tier 1,25-34,Influencer,Platinum,Fragrance,Normal,Yes
CUST00309,2024-03-06,Tier 1,25-34,Google Search,None,Baby Care,NA,Yes
CUST00310,2025-09-06,Tier 1,25-34,Instagram,None,Hair Care,Sensitive,Yes
CUST00311,2025-08-08,Tier 1,35-44,Marketplace,Silver,Baby Care,Combination,No
CUST00312,2025-07-25,Tier 1,18-24,Instagram,None,Fragrance,Dry,No
CUST00313,2024-08-16,Tier 1,35-44,Organic,None,Skin Care,Sensitive,Yes
CUST00314,2025-08-17,Tier 1,45+,Organic,None,Fragrance,Combination,Yes
CUST00315,2024-07-24,Tier 3,25-34,Organic,Platinum,Skin Care,NA,Yes
