ticket_id,customer_id,ticket_date,issue_type,support_channel,resolution_hours,sentiment_score,reopened
TKT000204,CUST00266,2024-07-26,wrong_item,call,13.9,-0.94,0
TKT000205,CUST00267,2024-11-23,payment_issue,call,3.1,-0.11,0
TKT000206,CUST00267,2025-09-09,payment_issue,email,2.7,-0.01,0
TKT000207,CUST00268,2025-09-26,product_reaction,chat,25.0,-0.15,0
TKT000208,CUST00269,2025-05-19,refund_delay,chat,32.9,-0.32,1
TKT000209,CUST00273,2025-01-17,refund_delay,email,45.7,-0.55,1
TKT000210,CUST00273,2025-05-03,payment_issue,chat,28.0,-0.46,0
TKT000211,CUST00273,2025-04-27,damaged_item,call,32.8,-0.08,0
TKT000212,CUST00273,2024-11-24,wrong_item,email,28.0,-0.92,0
TKT000213,CUST00275,2024-04-12,refund_delay,chat,19.4,0.16,0
TKT000214,CUST00278,2025-07-25,general_query,call,27.9,0.23,1
TKT000215,CUST00278,2024-12-26,damaged_item,call,11.7,-0.68,0
TKT000216,CUST00279,2025-02-28,refund_delay,call,31.8,-0.98,0
TKT000217,CUST00282,2024-12-18,payment_issue,call,11.0,0.17,1
TKT000218,CUST00283,2025-09-21,refund_delay,call,34.4,-0.49,0
TKT000219,CUST00283,2024-08-10,payment_issue,call,2.9,-0.56,0
TKT000220,CUST00283,2024-04-10,payment_issue,call,30.2,-0.77,0
TKT000221,CUST00283,2025-04-30,damaged_item,chat,8.8,0.97,0
TKT000222,CUST00286,2024-08-14,refund_delay,chat,57.3,-0.83,1
TKT000223,CUST00287,2024-08-09,product_reaction,call,26.2,0.86,0
TKT000224,CUST00288,2025-06-16,wrong_item,chat,40.2,-1,0
TKT000225,CUST00290,2025-09-29,general_query,email,20.5,-0.65,0
TKT000226,CUST00291,2024-12-20,wrong_item,email,1,-0.23,0
TKT000227,CUST00291,2025-01-30,general_query,email,1,-0.79,1
TKT000228,CUST00291,2025-08-10,general_query,chat,35.3,-0.14,0
TKT000229,CUST00292,2025-08-28,general_query,call,4.6,0.19,0
TKT000230,CUST00297,2025-05-06,late_delivery,chat,31.7,-0.98,0
TKT000231,CUST00299,2024-10-28,refund_delay,chat,53.6,-1,0
TKT000232,CUST00299,2024-07-23,refund_delay,email,69.0,-1,0
TKT000233,CUST00301,2025-03-08,refund_delay,chat,37.1,-0.91,1
TKT000234,CUST00301,2025-09-24,refund_delay,call,35.0,-1,0
TKT000235,CUST00301,2025-03-12,product_reaction,chat,22.7,-0.58,0
TKT000236,CUST00302,2025-05-03,refund_delay,email,38.9,-1,1
TKT000237,CUST00302,2024-10-31,refund_delay,call,51.5,-0.93,0
TKT000238,CUST00302,2025-05-13,wrong_item,call,1,-0.53,0
TKT000239,CUST00303,2024-11-15,refund_delay,email,23.4,-0.74,0
TKT000240,CUST00303,2024-12-31,late_delivery,email,31.2,-1,0
TKT000241,CUST00304,2025-01-19,refund_delay,email,27.1,-1,0
TKT000242,CUST00306,2025-09-15,damaged_item,call,34.5,0.17,1
TKT000243,CUST00306,2024-05-16,general_query,email,23.4,-0.18,0
TKT000244,CUST00307,2025-09-04,wrong_item,chat,4.5,-0.14,0
TKT000245,CUST00310,2025-09-15,refund_delay,call,31.3,-1,0
TKT000246,CUST00313,2025-04-22,damaged_item,chat,30.7,-0.78,1
TKT000247,CUST00315,2024-10-25,general_query,email,16.4,-0.11,0
TKT000248,CUST00315,2025-04-29,wrong_item,email,32.1,-0.26,0
TKT000249,CUST00316,2025-05-31,general_query,email,1,0.05,0
TKT000250,CUST00318,2025-06-21,general_query,email,12.6,0.1,0
TKT000251,CUST00320,2024-12-27,general_query,call,15.3,-0.34,0
TKT000252,CUST00321,2025-06-11,wrong_item,call,18.9,-0.26,0
TKT000253,CUST00321,2025-02-04,wrong_item,email,13.5,-1,0
TKT000254,CUST00324,2024-10-17,damaged_item,chat,26.0,-0.94,0
TKT000255,CUST00324,2024-08-17,general_query,call,13.7,-0.93,0
TKT000256,CUST00326,2025-01-29,general_query,call,4.0,0.78,0
TKT000257,CUST00330,2025-07-29,wrong_item,chat,7.9,0.19,0
TKT000258,CUST00331,2025-02-27,wrong_item,chat,26.3,-0.36,0
TKT000259,CUST00331,2024-09-03,late_delivery,chat,27.9,-0.11,0
TKT000260,CUST00332,2025-09-07,wrong_item,email,9.3,-0.45,0
TKT000261,CUST00332,2025-07-22,late_delivery,email,14.9,-0.92,0
TKT000262,CUST00334,2025-07-15,damaged_item,chat,7.4,-0.04,0
TKT000263,CUST00335,2025-04-28,wrong_item,email,20.3,-0.25,0
TKT000264,CUST00335,2024-05-29,refund_delay,chat,19.0,-0.96,0
TKT000265,CUST00337,2025-09-22,refund_delay,call,35.9,0.03,0
TKT000266,CUST00338,2025-09-19,wrong_item,chat,16.4,-0.83,1
TKT000267,CUST00339,2025-01-07,general_query,email,3.6,-1,0
TKT000268,CUST00340,2025-06-21,refund_delay,chat,26.4,-1,0
TKT000269,CUST00342,2025-09-30,damaged_item,email,21.9,-0.73,0
TKT000270,CUST00344,2024-11-26,late_delivery,chat,23.4,-0.44,0
TKT000271,CUST00344,2024-11-28,general_query,call,52.8,-0.35,1
TKT000272,CUST00344,2025-04-06,late_delivery,email,18.3,-0.76,0
TKT000273,CUST00344,2024-11-19,general_query,chat,32.8,-0.55,1
TKT000274,CUST00345,2025-03-20,refund_delay,call,52.1,-1,1
TKT000275,CUST00346,2024-12-01,wrong_item,call,1,-0.34,0
TKT000276,CUST00346,2024-09-15,product_reaction,chat,36.1,-1,0
TKT000277,CUST00347,2024-12-21,late_delivery,chat,15.0,0.21,0
TKT000278,CUST00351,2025-08-06,payment_issue,email,22.8,-0.43,0
TKT000279,CUST00351,2025-06-20,product_reaction,call,49.1,-1,0
TKT000280,CUST00351,2024-12-29,refund_delay,chat,29.0,-0.29,1
TKT000281,CUST00353,2025-05-22,damaged_item,call,27.6,-0.6,1
TKT000282,CUST00354,2025-06-02,general_query,chat,20.7,-0.61,0
TKT000283,CUST00355,2025-01-25,late_delivery,call,21.7,-0.87,1
TKT000284,CUST00355,2025-04-19,general_query,email,31.5,-1,1
TKT000285,CUST00356,2025-04-12,refund_delay,email,26.9,-0.45,0
TKT000286,CUST00356,2025-06-24,damaged_item,chat,17.9,-0.31,1
TKT000287,CUST00357,2025-08-30,general_query,call,12.9,-0.76,0
TKT000288,CUST00358,2025-06-30,payment_issue,chat,19.1,-0.5,0
TKT000289,CUST00361,2025-04-23,general_query,chat,26.9,-1,0
TKT000290,CUST00362,2025-06-03,late_delivery,chat,17.6,-0.43,0
TKT000291,CUST00363,2025-09-06,general_query,chat,22.5,-0.78,0
TKT000292,CUST00364,2024-08-07,late_delivery,chat,19.4,-0.74,0
TKT000293,CUST00364,2024-10-12,late_delivery,call,4.4,0.4,0
TKT000294,CUST00366,2025-06-21,late_delivery,email,32.0,-0.95,0
TKT000295,CUST00368,2025-08-11,late_delivery,chat,16.3,-0.3,0
TKT000296,CUST00371,2025-06-07,general_query,call,1.9,0.16,0
TKT000297,CUST00372,2025-08-16,wrong_item,email,12.6,0.32,0
TKT000298,CUST00374,2024-12-04,damaged_item,call,36.5,-0.37,0
TKT000299,CUST00375,2025-07-08,payment_issue,email,39.3,-0.26,0
TKT000300,CUST00380,2024-07-28,damaged_item,email,10.8,-0.86,0
TKT000301,CUST00381,2025-04-02,late_delivery,chat,34.5,-1,1
TKT000302,CUST00383,2025-06-17,payment_issue,call,28.5,-0.91,1
TKT000303,CUST00383,2025-09-27,refund_delay,call,59.0,-1,1
TKT000304,CUST00383,2025-05-11,wrong_item,chat,11.7,-0.81,1
TKT000305,CUST00385,2024-10-17,payment_issue,call,23.0,-0.0,0
TKT000306,CUST00385,2024-03-30,general_query,email,22.7,-0.37,0
TKT000307,CUST00385,2025-04-08,refund_delay,chat,44.0,-1,0
TKT000308,CUST00386,2024-10-14,late_delivery,call,28.3,-0.26,1
TKT000309,CUST00388,2025-01-06,damaged_item,call,29.6,-0.5,0
TKT000310,CUST00389,2025-07-22,wrong_item,email,46.3,-0.95,1
TKT000311,CUST00389,2024-08-02,wrong_item,call,18.4,-0.41,0
TKT000312,CUST00389,2025-05-30,general_query,call,31.5,0.1,0
TKT000313,CUST00390,2025-07-28,product_reaction,call,52.7,-1,0
TKT000314,CUST00393,2025-09-18,damaged_item,chat,1,0.73,0
TKT000315,CUST00394,2025-09-30,general_query,call,24.1,-0.52,0
TKT000316,CUST00395,2025-04-04,wrong_item,chat,9.8,-0.05,0
TKT000317,CUST00396,2025-09-06,product_reaction,email,55.1,-0.73,0
TKT000318,CUST00397,2024-05-14,payment_issue,email,14.8,-0.27,0
TKT000319,CUST00397,2024-10-22,general_query,email,21.9,-0.4,0
TKT000320,CUST00397,2024-06-22,late_delivery,chat,8.0,0.24,0
TKT000321,CUST00397,2025-07-24,damaged_item,chat,17.1,-1,0
TKT000322,CUST00398,2025-09-30,payment_issue,chat,40.3,-0.34,0
TKT000323,CUST00401,2025-08-02,wrong_item,call,5.4,-0.09,0
TKT000324,CUST00402,2025-06-01,general_query,call,36.8,-0.48,0
TKT000325,CUST00404,2024-05-07,product_reaction,call,39.4,-0.7,0
TKT000326,CUST00404,2025-03-29,general_query,call,22.1,-0.19,0
TKT000327,CUST00405,2025-09-30,refund_delay,email,40.1,-1,0
TKT000328,CUST00406,2025-09-28,damaged_item,email,10.7,0.36,1
TKT000329,CUST00408,2025-03-28,payment_issue,chat,1,0.11,0
TKT000330,CUST00408,2024-04-03,late_delivery,call,25.6,0.34,0
TKT000331,CUST00408,2024-07-25,general_query,chat,19.9,0.62,0
TKT000332,CUST00408,2024-05-16,damaged_item,chat,12.7,0.88,0
TKT000333,CUST00409,2024-10-29,late_delivery,call,28.0,-1,0
TKT000334,CUST00409,2025-08-15,damaged_item,email,18.7,-0.2,0
TKT000335,CUST00409,2024-09-01,wrong_item,email,1,-0.94,0
TKT000336,CUST00410,2025-09-30,general_query,call,2.9,0.21,1
TKT000337,CUST00413,2025-03-11,refund_delay,call,25.0,-0.81,1
TKT000338,CUST00413,2025-09-16,damaged_item,email,16.5,-0.79,0
TKT000339,CUST00414,2025-09-30,damaged_item,call,28.0,-0.4,1
TKT000340,CUST00415,2025-06-05,late_delivery,email,19.0,0.5,0
TKT000341,CUST00416,2025-09-03,late_delivery,email,12.8,0.14,0
TKT000342,CUST00418,2025-09-30,refund_delay,chat,37.7,-1,0
TKT000343,CUST00420,2024-04-18,wrong_item,call,1,-1,0
TKT000344,CUST00421,2024-09-10,late_delivery,email,43.9,-1,0
TKT000345,CUST00421,2024-09-15,damaged_item,email,5.7,0.58,0
TKT000346,CUST00424,2025-06-13,product_reaction,call,43.5,-1,0
TKT000347,CUST00427,2025-07-31,refund_delay,chat,24.2,-0.99,0
TKT000348,CUST00428,2024-12-27,payment_issue,chat,24.4,-0.67,0
TKT000349,CUST00429,2025-09-30,general_query,call,12.3,-0.73,0
TKT000350,CUST00433,2025-04-06,product_reaction,email,29.1,-0.81,0
TKT000351,CUST00433,2024-11-20,wrong_item,chat,19.6,0.16,0
TKT000352,CUST00433,2025-09-06,late_delivery,email,21.8,-0.08,1
TKT000353,CUST00433,2024-09-23,late_delivery,chat,15.4,0.19,0
TKT000354,CUST00435,2025-01-19,general_query,call,1,-0.12,0
TKT000355,CUST00438,2025-08-07,product_reaction,email,50.2,-0.56,1
TKT000356,CUST00438,2025-08-07,general_query,chat,21.9,-0.69,0
TKT000357,CUST00438,2025-05-09,late_delivery,email,1.4,-0.53,0
TKT000358,CUST00439,2024-11-11,general_query,email,20.1,-0.43,0
TKT000359,CUST00440,2025-07-29,damaged_item,chat,33.9,-0.9,1
TKT000360,CUST00441,2025-03-08,damaged_item,chat,25.6,0.11,0
TKT000361,CUST00442,2024-10-11,product_reaction,chat,33.2,-0.56,1
TKT000362,CUST00447,2025-07-06,wrong_item,email,1.4,0.05,0
TKT000363,CUST00447,2025-08-06,product_reaction,call,43.7,-1,1
TKT000364,CUST00448,2024-06-12,payment_issue,email,15.0,-0.23,0
TKT000365,CUST00448,2024-05-01,late_delivery,email,3.4,0.05,0
TKT000366,CUST00448,2024-12-31,payment_issue,call,40.8,-0.41,1
TKT000367,CUST00451,2025-03-31,late_delivery,chat,21.3,0.01,0
TKT000368,CUST00451,2024-11-02,wrong_item,call,1,-0.35,0
TKT000369,CUST00452,2024-06-14,late_delivery,email,13.5,0.02,0
TKT000370,CUST00453,2025-09-19,late_delivery,chat,16.5,-0.41,0
TKT000371,CUST00454,2025-09-26,late_delivery,chat,13.8,0.61,0
TKT000372,CUST00454,2025-08-11,refund_delay,chat,19.3,1.0,0
