customer_id,snapshot_date,last_campaign_received,last_campaign_cost,manual_priority_bucket
CUST00068,2025-09-30,bundle_discount,25,high
CUST00069,2025-09-30,bundle_discount,12,low
CUST00070,2025-09-30,none,18,high
CUST00071,2025-09-30,free_shipping,25,high
CUST00072,2025-09-30,none,18,high
CUST00073,2025-09-30,none,12,low
CUST00074,2025-09-30,new_launch,40,medium
CUST00075,2025-09-30,none,40,low
CUST00076,2025-09-30,bundle_discount,40,low
CUST00077,2025-09-30,welcome_offer,25,high
CUST00078,2025-09-30,welcome_offer,0,high
CUST00079,2025-09-30,none,18,high
CUST00080,2025-09-30,none,0,medium
CUST00081,2025-09-30,bundle_discount,12,low
CUST00082,2025-09-30,none,18,high
CUST00083,2025-09-30,bundle_discount,25,high
CUST00084,2025-09-30,bundle_discount,40,high
CUST00085,2025-09-30,none,25,low
CUST00086,2025-09-30,welcome_offer,25,medium
CUST00087,2025-09-30,new_launch,18,high
CUST00088,2025-09-30,new_launch,25,high
CUST00089,2025-09-30,none,18,high
CUST00090,2025-09-30,new_launch,0,high
CUST00091,2025-09-30,free_shipping,0,high
CUST00092,2025-09-30,new_launch,25,high
CUST00093,2025-09-30,none,0,high
CUST00094,2025-09-30,new_launch,0,high
CUST00095,2025-09-30,welcome_offer,18,medium
CUST00096,2025-09-30,new_launch,0,medium
CUST00097,2025-09-30,new_launch,18,low
CUST00098,2025-09-30,bundle_discount,0,high
CUST00099,2025-09-30,welcome_offer,25,high
CUST00100,2025-09-30,bundle_discount,18,high
CUST00101,2025-09-30,free_shipping,0,high
CUST00102,2025-09-30,welcome_offer,0,high
CUST00103,2025-09-30,none,18,low
CUST00104,2025-09-30,bundle_discount,40,high
CUST00105,2025-09-30,new_launch,40,high
CUST00106,2025-09-30,bundle_discount,40,medium
CUST00107,2025-09-30,free_shipping,12,low
CUST00108,2025-09-30,new_launch,40,medium
CUST00109,2025-09-30,free_shipping,12,high
CUST00110,2025-09-30,new_launch,12,medium
CUST00111,2025-09-30,welcome_offer,0,high
CUST00112,2025-09-30,welcome_offer,0,low
CUST00113,2025-09-30,free_shipping,18,low
CUST00114,2025-09-30,new_launch,0,high
CUST00115,2025-09-30,welcome_offer,0,high
CUST00116,2025-09-30,new_launch,12,high
CUST00117,2025-09-30,bundle_discount,0,high
CUST00118,2025-09-30,none,25,low
CUST00119,2025-09-30,free_shipping,12,medium
CUST00120,2025-09-30,bundle_discount,18,low
CUST00121,2025-09-30,free_shipping,12,low
CUST00122,2025-09-30,none,18,high
CUST00123,2025-09-30,new_launch,12,high
CUST00124,2025-09-30,new_launch,12,high
CUST00125,2025-09-30,none,0,low
CUST00126,2025-09-30,new_launch,18,medium
CUST00127,2025-09-30,welcome_offer,40,low
CUST00128,2025-09-30,free_shipping,0,low
CUST00129,2025-09-30,bundle_discount,12,high
CUST00130,2025-09-30,new_launch,25,high
CUST00131,2025-09-30,welcome_offer,25,medium
CUST00132,2025-09-30,welcome_offer,18,high
CUST00133,2025-09-30,free_shipping,0,medium
CUST00134,2025-09-30,new_launch,25,low
CUST00135,2025-09-30,new_launch,12,high
CUST00136,2025-09-30,new_launch,12,medium
CUST00137,2025-09-30,none,25,high
CUST00138,2025-09-30,bundle_discount,0,medium
CUST00139,2025-09-30,none,25,medium
CUST00140,2025-09-30,new_launch,0,medium
CUST00141,2025-09-30,none,18,low
CUST00142,2025-09-30,new_launch,40,high
CUST00143,2025-09-30,free_shipping,0,low
CUST00144,2025-09-30,free_shipping,25,high
CUST00145,2025-09-30,none,40,high
CUST00146,2025-09-30,free_shipping,40,high
CUST00147,2025-09-30,new_launch,12,high
CUST00148,2025-09-30,bundle_discount,25,low
CUST00149,2025-09-30,bundle_discount,40,low
CUST00150,2025-09-30,welcome_offer,0,medium
CUST00151,2025-09-30,none,40,medium
CUST00152,2025-09-30,bundle_discount,18,medium
CUST00153,2025-09-30,welcome_offer,0,low
CUST00154,2025-09-30,new_launch,40,low
CUST00155,2025-09-30,none,12,low
CUST00156,2025-09-30,welcome_offer,25,medium
CUST00157,2025-09-30,welcome_offer,25,low
CUST00158,2025-09-30,free_shipping,25,high
CUST00159,2025-09-30,free_shipping,18,high
CUST00160,2025-09-30,welcome_offer,18,high
CUST00161,2025-09-30,welcome_offer,0,low
CUST00162,2025-09-30,none,0,high
CUST00163,2025-09-30,free_shipping,25,medium
CUST00164,2025-09-30,free_shipping,0,high
CUST00165,2025-09-30,welcome_offer,12,high
CUST00166,2025-09-30,new_launch,12,high
CUST00167,2025-09-30,bundle_discount,40,high
CUST00168,2025-09-30,bundle_discount,18,high
CUST00169,2025-09-30,new_launch,25,high
CUST00170,2025-09-30,new_launch,18,low
CUST00171,2025-09-30,none,0,low
CUST00172,2025-09-30,new_launch,25,medium
CUST00173,2025-09-30,bundle_discount,18,high
CUST00174,2025-09-30,free_shipping,40,high
CUST00175,2025-09-30,free_shipping,18,medium
CUST00176,2025-09-30,bundle_discount,40,medium
CUST00177,2025-09-30,free_shipping,0,high
CUST00178,2025-09-30,none,25,medium
CUST00179,2025-09-30,free_shipping,18,medium
CUST00180,2025-09-30,welcome_offer,40,high
CUST00181,2025-09-30,free_shipping,0,low
CUST00182,2025-09-30,none,0,low
CUST00183,2025-09-30,free_shipping,0,high
CUST00184,2025-09-30,none,12,low
CUST00185,2025-09-30,new_launch,18,high
CUST00186,2025-09-30,none,0,medium
CUST00187,2025-09-30,none,18,high
CUST00188,2025-09-30,bundle_discount,18,medium
CUST00189,2025-09-30,new_launch,0,high
CUST00190,2025-09-30,free_shipping,18,medium
CUST00191,2025-09-30,welcome_offer,12,low
CUST00192,2025-09-30,none,0,medium
CUST00193,2025-09-30,free_shipping,18,high
CUST00194,2025-09-30,none,40,high
CUST00195,2025-09-30,new_launch,0,medium
CUST00196,2025-09-30,free_shipping,12,medium
CUST00197,2025-09-30,bundle_discount,12,medium
CUST00198,2025-09-30,new_launch,12,medium
CUST00199,2025-09-30,welcome_offer,12,medium
CUST00200,2025-09-30,none,25,low
CUST00201,2025-09-30,none,40,high
CUST00202,2025-09-30,bundle_discount,12,high
CUST00203,2025-09-30,welcome_offer,40,high
CUST00204,2025-09-30,welcome_offer,40,medium
CUST00205,2025-09-30,none,12,low
CUST00206,2025-09-30,bundle_discount,40,high
CUST00207,2025-09-30,none,25,low
CUST00208,2025-09-30,free_shipping,0,high
CUST00209,2025-09-30,bundle_discount,40,high
CUST00210,2025-09-30,none,40,high
CUST00211,2025-09-30,bundle_discount,25,high
CUST00212,2025-09-30,new_launch,18,high
CUST00213,2025-09-30,bundle_discount,0,high
CUST00214,2025-09-30,free_shipping,40,medium
CUST00215,2025-09-30,none,12,low
CUST00216,2025-09-30,free_shipping,12,medium
CUST00217,2025-09-30,bundle_discount,12,high
CUST00218,2025-09-30,none,0,high
CUST00219,2025-09-30,welcome_offer,18,high
CUST00220,2025-09-30,none,12,medium
CUST00221,2025-09-30,welcome_offer,25,low
CUST00222,2025-09-30,welcome_offer,0,high
CUST00223,2025-09-30,welcome_offer,0,high
CUST00224,2025-09-30,free_shipping,18,high
CUST00225,2025-09-30,bundle_discount,40,high
CUST00226,2025-09-30,new_launch,18,medium
CUST00227,2025-09-30,bundle_discount,40,high
CUST00228,2025-09-30,free_shipping,12,high
CUST00229,2025-09-30,new_launch,18,high
CUST00230,2025-09-30,none,40,medium
CUST00231,2025-09-30,free_shipping,0,low
CUST00232,2025-09-30,bundle_discount,18,medium
CUST00233,2025-09-30,new_launch,12,high
CUST00234,2025-09-30,welcome_offer,0,low
CUST00235,2025-09-30,none,0,high
CUST00236,2025-09-30,free_shipping,18,medium
CUST00237,2025-09-30,welcome_offer,18,low
CUST00238,2025-09-30,bundle_discount,18,high
CUST00239,2025-09-30,bundle_discount,25,high
CUST00240,2025-09-30,bundle_discount,0,medium
CUST00241,2025-09-30,new_launch,25,low
CUST00242,2025-09-30,none,40,high
CUST00243,2025-09-30,free_shipping,18,medium
CUST00244,2025-09-30,welcome_offer,40,high
CUST00245,2025-09-30,free_shipping,0,medium
CUST00246,2025-09-30,none,12,medium
CUST00247,2025-09-30,bundle_discount,18,medium
CUST00248,2025-09-30,none,0,medium
CUST00249,2025-09-30,free_shipping,12,high
CUST00250,2025-09-30,new_launch,12,low
CUST00251,2025-09-30,free_shipping,40,medium
CUST00252,2025-09-30,free_shipping,40,high
CUST00253,2025-09-30,new_launch,40,high
CUST00254,2025-09-30,free_shipping,25,high
CUST00255,2025-09-30,bundle_discount,18,medium
CUST00256,2025-09-30,free_shipping,25,high
CUST00257,2025-09-30,free_shipping,40,medium
CUST00258,2025-09-30,free_shipping,0,medium
CUST00259,2025-09-30,new_launch,0,high
CUST00260,2025-09-30,bundle_discount,12,low
CUST00261,2025-09-30,free_shipping,40,high
CUST00262,2025-09-30,new_launch,25,low
CUST00263,2025-09-30,welcome_offer,12,medium
CUST00264,2025-09-30,free_shipping,18,medium
CUST00265,2025-09-30,none,40,high
CUST00266,2025-09-30,new_launch,40,high
CUST00267,2025-09-30,new_launch,25,medium
CUST00268,2025-09-30,welcome_offer,18,medium
CUST00269,2025-09-30,new_launch,18,low
CUST00270,2025-09-30,bundle_discount,0,medium
CUST00271,2025-09-30,new_launch,40,low
CUST00272,2025-09-30,bundle_discount,12,low
CUST00273,2025-09-30,welcome_offer,25,low
CUST00274,2025-09-30,bundle_discount,0,high
CUST00275,2025-09-30,new_launch,0,high
CUST00276,2025-09-30,free_shipping,12,medium
CUST00277,2025-09-30,none,0,low
CUST00278,2025-09-30,bundle_discount,40,medium
CUST00279,2025-09-30,none,0,low
CUST00280,2025-09-30,welcome_offer,25,low
CUST00281,2025-09-30,new_launch,12,low
CUST00282,2025-09-30,new_launch,12,high
CUST00283,2025-09-30,none,25,medium
CUST00284,2025-09-30,new_launch,12,high
CUST00285,2025-09-30,bundle_discount,40,low
CUST00286,2025-09-30,free_shipping,12,high
CUST00287,2025-09-30,none,40,medium
CUST00288,2025-09-30,new_launch,12,high
CUST00289,2025-09-30,none,12,low
CUST00290,2025-09-30,new_launch,12,medium
CUST00291,2025-09-30,welcome_offer,18,medium
CUST00292,2025-09-30,none,18,medium
CUST00293,2025-09-30,new_launch,25,high
CUST00294,2025-09-30,bundle_discount,12,high
CUST00295,2025-09-30,free_shipping,25,low
CUST00296,2025-09-30,none,12,high
CUST00297,2025-09-30,welcome_offer,0,high
CUST00298,2025-09-30,new_launch,25,high
CUST00299,2025-09-30,free_shipping,12,high
CUST00300,2025-09-30,none,18,low
CUST00301,2025-09-30,welcome_offer,40,medium
CUST00302,2025-09-30,new_launch,0,high
CUST00303,2025-09-30,none,12,medium
CUST00304,2025-09-30,new_launch,25,high
CUST00305,2025-09-30,welcome_offer,18,high
CUST00306,2025-09-30,welcome_offer,12,medium
CUST00307,2025-09-30,none,25,high
CUST00308,2025-09-30,none,0,medium
CUST00309,2025-09-30,none,25,low
CUST00310,2025-09-30,bundle_discount,0,medium
CUST00311,2025-09-30,free_shipping,40,medium
CUST00312,2025-09-30,free_shipping,12,medium
CUST00313,2025-09-30,free_shipping,40,high
CUST00314,2025-09-30,welcome_offer,25,high
CUST00315,2025-09-30,free_shipping,12,low
CUST00316,2025-09-30,new_launch,18,high
CUST00317,2025-09-30,none,12,high
CUST00318,2025-09-30,none,12,medium
CUST00319,2025-09-30,bundle_discount,40,high
CUST00320,2025-09-30,none,0,low
CUST00321,2025-09-30,bundle_discount,40,high
CUST00322,2025-09-30,new_launch,40,low
CUST00323,2025-09-30,welcome_offer,40,low
CUST00324,2025-09-30,new_launch,0,high
CUST00325,2025-09-30,welcome_offer,25,medium
CUST00326,2025-09-30,none,18,high
CUST00327,2025-09-30,bundle_discount,25,low
CUST00328,2025-09-30,bundle_discount,12,high
CUST00329,2025-09-30,welcome_offer,18,high
CUST00330,2025-09-30,none,40,medium
CUST00331,2025-09-30,free_shipping,0,high
CUST00332,2025-09-30,bundle_discount,0,medium
CUST00333,2025-09-30,new_launch,18,medium
CUST00334,2025-09-30,new_launch,12,high
CUST00335,2025-09-30,free_shipping,12,high
CUST00336,2025-09-30,new_launch,25,low
CUST00337,2025-09-30,welcome_offer,40,medium
CUST00338,2025-09-30,bundle_discount,12,medium
CUST00339,2025-09-30,free_shipping,25,high
CUST00340,2025-09-30,new_launch,12,medium
CUST00341,2025-09-30,none,40,low
CUST00342,2025-09-30,free_shipping,25,medium
CUST00343,2025-09-30,none,18,high
CUST00344,2025-09-30,welcome_offer,12,high
CUST00345,2025-09-30,bundle_discount,12,low
CUST00346,2025-09-30,new_launch,40,medium
CUST00347,2025-09-30,new_launch,12,high
CUST00348,2025-09-30,new_launch,18,low
CUST00349,2025-09-30,none,12,medium
CUST00350,2025-09-30,free_shipping,12,medium
CUST00351,2025-09-30,none,40,medium
CUST00352,2025-09-30,new_launch,25,low
CUST00353,2025-09-30,free_shipping,40,high
CUST00354,2025-09-30,none,25,medium
CUST00355,2025-09-30,new_launch,12,high
CUST00356,2025-09-30,new_launch,40,low
CUST00357,2025-09-30,new_launch,0,medium
CUST00358,2025-09-30,free_shipping,40,high
CUST00359,2025-09-30,none,25,low
CUST00360,2025-09-30,bundle_discount,25,high
CUST00361,2025-09-30,new_launch,12,high
CUST00362,2025-09-30,none,40,low
CUST00363,2025-09-30,none,40,medium
CUST00364,2025-09-30,new_launch,40,high
CUST00365,2025-09-30,bundle_discount,0,high
CUST00366,2025-09-30,none,12,high
CUST00367,2025-09-30,none,25,high
CUST00368,2025-09-30,none,12,medium
CUST00369,2025-09-30,new_launch,12,medium
CUST00370,2025-09-30,new_launch,18,high
CUST00371,2025-09-30,welcome_offer,40,high
CUST00372,2025-09-30,welcome_offer,0,medium
CUST00373,2025-09-30,none,12,medium
CUST00374,2025-09-30,none,0,high
CUST00375,2025-09-30,free_shipping,0,high
CUST00376,2025-09-30,new_launch,18,medium
CUST00377,2025-09-30,free_shipping,25,high
CUST00378,2025-09-30,bundle_discount,0,high
CUST00379,2025-09-30,bundle_discount,18,medium
CUST00380,2025-09-30,new_launch,40,medium
CUST00381,2025-09-30,free_shipping,18,high
CUST00382,2025-09-30,bundle_discount,40,medium
CUST00383,2025-09-30,none,25,medium
CUST00384,2025-09-30,bundle_discount,12,high
CUST00385,2025-09-30,none,12,medium
CUST00386,2025-09-30,bundle_discount,12,low
CUST00387,2025-09-30,free_shipping,12,high
CUST00388,2025-09-30,bundle_discount,0,medium
CUST00389,2025-09-30,new_launch,40,medium
CUST00390,2025-09-30,none,0,medium
CUST00391,2025-09-30,none,0,low
CUST00392,2025-09-30,free_shipping,12,high
CUST00393,2025-09-30,new_launch,25,medium
CUST00394,2025-09-30,new_launch,12,medium
CUST00395,2025-09-30,welcome_offer,40,low
CUST00396,2025-09-30,welcome_offer,0,medium
CUST00397,2025-09-30,free_shipping,40,high
CUST00398,2025-09-30,bundle_discount,40,medium
CUST00399,2025-09-30,free_shipping,12,high
CUST00400,2025-09-30,none,12,medium
CUST00401,2025-09-30,welcome_offer,0,medium
CUST00402,2025-09-30,none,12,high
CUST00403,2025-09-30,none,0,low
CUST00404,2025-09-30,none,25,high
CUST00405,2025-09-30,new_launch,0,medium
CUST00406,2025-09-30,new_launch,0,medium
CUST00407,2025-09-30,bundle_discount,25,high
CUST00408,2025-09-30,free_shipping,12,high
CUST00409,2025-09-30,free_shipping,0,medium
CUST00410,2025-09-30,none,12,medium
CUST00411,2025-09-30,welcome_offer,25,high
CUST00412,2025-09-30,none,0,high
CUST00413,2025-09-30,new_launch,18,medium
CUST00414,2025-09-30,none,18,medium
CUST00415,2025-09-30,bundle_discount,40,high
CUST00416,2025-09-30,free_shipping,0,medium
CUST00417,2025-09-30,welcome_offer,25,high
CUST00418,2025-09-30,welcome_offer,18,medium
CUST00419,2025-09-30,new_launch,25,high
CUST00420,2025-09-30,none,25,low
CUST00421,2025-09-30,free_shipping,25,low
CUST00422,2025-09-30,new_launch,12,high
CUST00423,2025-09-30,new_launch,18,high
CUST00424,2025-09-30,bundle_discount,0,high
CUST00425,2025-09-30,new_launch,25,high
CUST00426,2025-09-30,new_launch,18,high
CUST00427,2025-09-30,new_launch,40,medium
CUST00428,2025-09-30,bundle_discount,12,medium
CUST00429,2025-09-30,new_launch,12,medium
CUST00430,2025-09-30,none,18,low
CUST00431,2025-09-30,free_shipping,25,high
CUST00432,2025-09-30,welcome_offer,12,high
CUST00433,2025-09-30,free_shipping,40,medium
CUST00434,2025-09-30,bundle_discount,40,high
CUST00435,2025-09-30,free_shipping,40,high
CUST00436,2025-09-30,none,0,medium
CUST00437,2025-09-30,free_shipping,0,high
CUST00438,2025-09-30,new_launch,0,medium
CUST00439,2025-09-30,new_launch,12,high
CUST00440,2025-09-30,none,25,medium
CUST00441,2025-09-30,free_shipping,25,high
CUST00442,2025-09-30,none,40,medium
CUST00443,2025-09-30,none,12,high
CUST00444,2025-09-30,free_shipping,0,high
CUST00445,2025-09-30,bundle_discount,40,low
CUST00446,2025-09-30,welcome_offer,12,low
CUST00447,2025-09-30,none,12,medium
CUST00448,2025-09-30,free_shipping,0,high
CUST00449,2025-09-30,free_shipping,18,high
CUST00450,2025-09-30,free_shipping,40,medium
CUST00451,2025-09-30,none,18,low
CUST00452,2025-09-30,none,40,high
CUST00453,2025-09-30,welcome_offer,12,medium
CUST00454,2025-09-30,new_launch,12,medium
CUST00455,2025-09-30,bundle_discount,18,high
CUST00456,2025-09-30,bundle_discount,0,high
CUST00457,2025-09-30,free_shipping,12,high
CUST00458,2025-09-30,welcome_offer,12,low
CUST00459,2025-09-30,new_launch,0,high
CUST00460,2025-09-30,free_shipping,40,medium
CUST00461,2025-09-30,none,40,high
CUST00462,2025-09-30,welcome_offer,18,low
CUST00463,2025-09-30,new_launch,18,low
CUST00464,2025-09-30,none,18,high
CUST00465,2025-09-30,none,40,high
CUST00466,2025-09-30,welcome_offer,0,low
CUST00467,2025-09-30,none,18,low
CUST00468,2025-09-30,none,40,high
CUST00469,2025-09-30,free_shipping,40,low
CUST00470,2025-09-30,free_shipping,0,high
CUST00471,2025-09-30,none,40,high
CUST00472,2025-09-30,none,12,high
CUST00473,2025-09-30,bundle_discount,18,high
CUST00474,2025-09-30,free_shipping,18,low
CUST00475,2025-09-30,none,25,medium
CUST00476,2025-09-30,bundle_discount,12,high
CUST00477,2025-09-30,bundle_discount,25,medium
CUST00478,2025-09-30,welcome_offer,18,low
CUST00479,2025-09-30,bundle_discount,25,high
CUST00480,2025-09-30,bundle_discount,18,high
CUST00481,2025-09-30,free_shipping,25,medium
CUST00482,2025-09-30,none,25,low
CUST00483,2025-09-30,new_launch,0,high
CUST00484,2025-09-30,free_shipping,0,medium
CUST00485,2025-09-30,new_launch,18,high
CUST00486,2025-09-30,new_launch,18,medium
CUST00487,2025-09-30,new_launch,12,medium
CUST00488,2025-09-30,free_shipping,25,high
CUST00489,2025-09-30,bundle_discount,25,high
CUST00490,2025-09-30,welcome_offer,0,medium
CUST00491,2025-09-30,none,12,high
CUST00492,2025-09-30,welcome_offer,40,high
CUST00493,2025-09-30,new_launch,12,high
CUST00494,2025-09-30,bundle_discount,25,low
CUST00495,2025-09-30,welcome_offer,12,medium
CUST00496,2025-09-30,welcome_offer,40,low
CUST00497,2025-09-30,none,12,high
CUST00498,2025-09-30,new_launch,40,low
CUST00499,2025-09-30,none,25,high
CUST00500,2025-09-30,bundle_discount,25,medium
CUST00501,2025-09-30,none,18,medium
CUST00502,2025-09-30,none,0,low
CUST00503,2025-09-30,free_shipping,18,medium
CUST00504,2025-09-30,new_launch,40,low
CUST00505,2025-09-30,new_launch,40,high
CUST00506,2025-09-30,bundle_discount,25,medium
CUST00507,2025-09-30,free_shipping,25,high
CUST00508,2025-09-30,new_launch,18,high
CUST00509,2025-09-30,bundle_discount,12,low
CUST00510,2025-09-30,welcome_offer,18,high
CUST00511,2025-09-30,new_launch,0,medium
CUST00512,2025-09-30,new_launch,0,medium
CUST00513,2025-09-30,none,18,medium
CUST00514,2025-09-30,free_shipping,12,high
CUST00515,2025-09-30,bundle_discount,0,low
CUST00516,2025-09-30,bundle_discount,40,low
CUST00517,2025-09-30,new_launch,0,medium
CUST00518,2025-09-30,none,40,low
CUST00519,2025-09-30,bundle_discount,12,high
CUST00520,2025-09-30,new_launch,40,low
CUST00521,2025-09-30,bundle_discount,12,medium
CUST00522,2025-09-30,new_launch,40,high
CUST00523,2025-09-30,welcome_offer,12,low
CUST00524,2025-09-30,new_launch,25,low
CUST00525,2025-09-30,new_launch,0,high
CUST00526,2025-09-30,welcome_offer,0,low
CUST00527,2025-09-30,welcome_offer,0,high
CUST00528,2025-09-30,free_shipping,18,low
CUST00529,2025-09-30,free_shipping,18,medium
CUST00530,2025-09-30,none,18,medium
CUST00531,2025-09-30,new_launch,12,medium
CUST00532,2025-09-30,welcome_offer,12,high
CUST00533,2025-09-30,free_shipping,25,medium
CUST00534,2025-09-30,welcome_offer,12,medium
CUST00535,2025-09-30,new_launch,40,high
CUST00536,2025-09-30,new_launch,40,medium
CUST00537,2025-09-30,welcome_offer,0,low
CUST00538,2025-09-30,bundle_discount,0,medium
CUST00539,2025-09-30,new_launch,0,medium
CUST00540,2025-09-30,new_launch,25,medium
CUST00541,2025-09-30,free_shipping,25,high
CUST00542,2025-09-30,none,12,high
CUST00543,2025-09-30,new_launch,12,high
CUST00544,2025-09-30,bundle_discount,12,high
CUST00545,2025-09-30,welcome_offer,0,medium
CUST00546,2025-09-30,bundle_discount,0,low
CUST00547,2025-09-30,welcome_offer,25,medium
CUST00548,2025-09-30,none,25,high
CUST00549,2025-09-30,new_launch,12,high
CUST00550,2025-09-30,bundle_discount,12,high
CUST00551,2025-09-30,bundle_discount,0,low
CUST00552,2025-09-30,welcome_offer,25,low
CUST00553,2025-09-30,free_shipping,25,high
CUST00554,2025-09-30,welcome_offer,18,low
CUST00555,2025-09-30,welcome_offer,18,medium
CUST00556,2025-09-30,new_launch,40,high
CUST00557,2025-09-30,new_launch,0,low
CUST00558,2025-09-30,free_shipping,12,high
CUST00559,2025-09-30,welcome_offer,25,low
CUST00560,2025-09-30,bundle_discount,12,high
CUST00561,2025-09-30,bundle_discount,0,medium
CUST00562,2025-09-30,new_launch,12,high
CUST00563,2025-09-30,free_shipping,25,high
CUST00564,2025-09-30,bundle_discount,12,high
CUST00565,2025-09-30,none,40,medium
CUST00566,2025-09-30,bundle_discount,0,low
CUST00567,2025-09-30,bundle_discount,12,low
CUST00568,2025-09-30,welcome_offer,18,low
CUST00569,2025-09-30,none,18,high
CUST00570,2025-09-30,new_launch,18,high
CUST00571,2025-09-30,welcome_offer,40,medium
CUST00572,2025-09-30,free_shipping,18,medium
CUST00573,2025-09-30,welcome_offer,40,high
CUST00574,2025-09-30,welcome_offer,25,low
CUST00575,2025-09-30,welcome_offer,40,high
CUST00576,2025-09-30,none,40,medium
CUST00577,2025-09-30,welcome_offer,40,medium
CUST00578,2025-09-30,bundle_discount,18,high
CUST00579,2025-09-30,welcome_offer,12,high
CUST00580,2025-09-30,new_launch,0,medium
CUST00581,2025-09-30,bundle_discount,12,high
CUST00582,2025-09-30,bundle_discount,25,high
CUST00583,2025-09-30,none,12,high
CUST00584,2025-09-30,welcome_offer,12,high
CUST00585,2025-09-30,bundle_discount,40,high
CUST00586,2025-09-30,free_shipping,0,high
CUST00587,2025-09-30,bundle_discount,25,low
CUST00588,2025-09-30,welcome_offer,12,high
CUST00589,2025-09-30,bundle_discount,40,medium
CUST00590,2025-09-30,welcome_offer,0,high
CUST00591,2025-09-30,none,0,medium
CUST00592,2025-09-30,new_launch,40,low
CUST00593,2025-09-30,bundle_discount,0,medium
CUST00594,2025-09-30,none,12,high
CUST00595,2025-09-30,new_launch,25,low
CUST00596,2025-09-30,bundle_discount,12,medium
CUST00597,2025-09-30,welcome_offer,18,high
CUST00598,2025-09-30,free_shipping,25,low
CUST00599,2025-09-30,free_shipping,40,high
CUST00600,2025-09-30,none,40,high
CUST00601,2025-09-30,free_shipping,25,medium
CUST00602,2025-09-30,new_launch,18,high
CUST00603,2025-09-30,new_launch,40,medium
CUST00604,2025-09-30,none,12,high
CUST00605,2025-09-30,none,40,high
CUST00606,2025-09-30,new_launch,25,high
CUST00607,2025-09-30,none,40,high
CUST00608,2025-09-30,welcome_offer,0,medium
CUST00609,2025-09-30,bundle_discount,40,low
CUST00610,2025-09-30,new_launch,18,medium
CUST00611,2025-09-30,welcome_offer,12,high
CUST00612,2025-09-30,bundle_discount,40,medium
CUST00613,2025-09-30,none,25,medium
CUST00614,2025-09-30,new_launch,0,high
CUST00615,2025-09-30,new_launch,0,medium
CUST00616,2025-09-30,bundle_discount,12,medium
